报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,1718.888,109.344,15.72,5.6664,227.51,44.39%,109.68亿,57.51%,10.75,4361.77亿,411.56亿,48.21%,1524.09亿
2024,1634.693,109.344,14.95,7.1817,227.62,5.43%,100.31亿,27.31%,10.12,3656.51亿,328.48亿,28.28%,1404.99亿
2023,1257.456,109.344,11.5,3.7375,336.44,0.0062%,78.79亿,1.43%,9.20,3198.09亿,302.69亿,23.43%,1304.95亿
2022,881.943,101.3728,8.7,2.6216,336.42,-6.51%,77.68亿,-25.53%,8.55,2879.18亿,279.74亿,23.07%,1026.22亿
2021,1026.904,101.3726,10.13,2.8538,359.84,51.52%,104.30亿,43.99%,8.29,2495.81亿,267.50亿,29.23%,989.78亿
2020,1123.208,101.3726,11.08,4.7295,237.49,39.37%,72.44亿,38.54%,7.53,1853.75亿,223.01亿,30.79%,820.08亿
2019,1030.959,101.3726,10.17,6.0499,170.41,71.69%,52.28亿,81.09%,6.99,1443.68亿,189.16亿,30.81%,719.22亿
2018,600.126,101.3726,5.92,6.0466,99.25,-12.51%,28.87亿,-27.47%,6.51,1117.52亿,160.80亿,29.54%,663.38亿
2017,,,8.98,,113.44,-14.32%,39.81亿,-22.76%,6.36,887.52亿,158.77亿,35.43%,648.86亿
2016,,,,,132.4,-49.58%,51.54亿,-47.60%,6.08,984.27亿,145.75亿,39.16%,583.54亿
2015,,,,,262.6,130.10%,98.36亿,160.84%,5.97,1415.05亿,139.94亿,37.61%,572.49亿
2014,,,,,114.12,52.52%,37.71亿,76.59%,3.85,591.34亿,82.54亿,33.21%,293.36亿
2013,,,,,74.82,34.76%,21.35亿,50.39%,3.34,390.54亿,60.95亿,28.80%,254.22亿
2012,,,,,55.52,-6.26%,14.20亿,-10.03%,2.91,420.60亿,51.62亿,25.80%,175.59亿
2011,,,,,59.23,-25.03%,15.78亿,-43.17%,2.67,472.76亿,43.21亿,26.76%,161.27亿
2010,,,,,79.0,-19.42%,27.77亿,-38.83%,False,622.82亿,35.04亿,35.32%,145.45亿
