报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,6401.066,1200.9505,5.33,1.8111,2650.8,1.82%,765.62亿,0.98%,8.44,3223.11亿,28.97%,1.17万亿
2024,5245.621,991.6108,5.29,1.504,3487.75,1.83%,864.79亿,0.24%,8.37,2633.43亿,24.86%,1.03万亿
2023,3807.785,991.6108,3.84,1.1117,3425.07,2.25%,862.70亿,1.23%,7.92,2493.04亿,25.23%,9566.16亿
2022,3575.26,923.8397,3.87,1.0674,3349.56,5.08%,852.24亿,11.89%,7.41,2251.96亿,25.48%,8258.14亿
2021,3760.028,923.8397,4.07,1.1796,3187.62,11.38%,761.70亿,18.65%,6.89,1988.40亿,24.01%,7955.49亿
2020,3183.415,869.7856,3.66,1.1123,2862.02,3.39%,641.99亿,5.36%,6.25,1805.72亿,22.47%,6729.30亿
2019,3706.718,862.0274,4.3,1.3391,2768.09,6.06%,609.33亿,16.48%,5.75,1574.31亿,22.05%,5448.79亿
2018,,,,,2609.95,16.22%,523.11亿,9.71%,5.26,1329.33亿,20.07%,4753.13亿
2017,,,,,2245.72,18.94%,476.83亿,19.80%,4.73,1063.11亿,21.24%,4313.57亿
2016,,,,,1888.09,-0.47%,398.01亿,14.18%,4.28,765.72亿,21.07%,3468.88亿
2015,,,,,1897.07,9.42%,348.59亿,7.04%,False,588.04亿,18.37%,2708.31亿
2014,,,,,1733.79,19.81%,325.67亿,9.77%,False,452.98亿,18.78%,1879.09亿
2013,,,,,1447.14,14.24%,296.68亿,4.57%,False,243.63亿,20.50%,1410.47亿
2012,,,,,1266.79,16.34%,283.71亿,22.92%,False,248.80亿,22.40%,1148.69亿
2011,,,,,1088.87,False,230.80亿,False,False,False,21.20%,892.79亿
