报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,1676.867,437.8242,3.83,1.159,1085.09,6.74%,285.42亿,-6.38%,12.83,2943.04亿,26.30%,7005.48亿
2024,1729.406,437.8242,3.95,1.2689,1362.9,-3.21%,322.96亿,-9.85%,12.51,2776.31亿,24.01%,6565.68亿
2023,1431.685,437.8242,3.27,1.0167,1408.17,-1.16%,358.23亿,1.57%,12.10,2716.45亿,25.56%,6378.01亿
2022,1247.799,437.8242,2.85,0.8758,1424.76,-15.60%,352.69亿,2.58%,11.53,2578.77亿,25.11%,6128.14亿
2021,1335.364,437.8242,3.05,0.7911,1688.04,-8.73%,343.81亿,0.21%,11.06,2431.44亿,20.65%,5865.39亿
2020,1698.758,437.8242,3.88,0.9185,1849.51,2.50%,343.09亿,-36.25%,10.50,2252.47亿,18.98%,5412.48亿
2019,1939.561,437.8242,4.43,1.0749,1804.41,15.10%,538.19亿,6.94%,10.26,2187.46亿,30.44%,5308.29亿
2018,1663.732,437.8242,3.8,1.0613,1567.69,8.66%,503.27亿,1.03%,9.37,1931.31亿,32.10%,4310.01亿
2017,,,4.58,,1442.81,-7.01%,498.13亿,4.12%,10.12,1634.20亿,35.29%,3898.12亿
2016,,,4.79,,1551.54,0.51%,478.43亿,3.76%,9.12,1306.30亿,31.43%,3520.27亿
2015,,,4.89,,1544.25,13.99%,461.11亿,3.51%,8.26,1168.26亿,30.45%,3097.83亿
2014,,,5.41,,1354.69,16.90%,445.46亿,5.36%,7.03,900.19亿,33.64%,2477.56亿
2013,,,3.16,,1158.86,12.39%,422.78亿,12.55%,6.97,640.23亿,37.35%,2042.87亿
2012,,,3.11,,1031.11,25.18%,375.63亿,34.54%,5.75,376.15亿,37.15%,1685.44亿
2011,,,2.16,,823.68,50.39%,279.20亿,58.81%,4.85,392.45亿,34.53%,1341.10亿
2010,,,1.81,,547.68,30.21%,175.81亿,45.25%,3.90,198.81亿,32.30%,1052.57亿
