报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,1107.647,72.49,15.28,2.8765,288.8,1.35%,158.85亿,14.53%,18.34,574.93亿,55.00%,1629.50亿
2024,848.106,60.4926,14.02,2.2097,383.81,9.61%,169.83亿,18.07%,18.03,442.71亿,44.25%,1360.48亿
2023,533.132,59.3028,8.99,1.5225,350.16,6.33%,143.83亿,23.15%,15.90,382.95亿,41.08%,1112.93亿
2022,673.087,59.3028,11.35,2.0439,329.32,12.16%,116.79亿,26.11%,13.76,301.98亿,35.47%,985.73亿
2021,644.619,59.3026,10.87,2.1955,293.61,18.36%,92.61亿,29.77%,12.33,251.87亿,31.54%,900.71亿
2020,732.973,59.302,12.36,2.9548,248.06,15.87%,71.36亿,8.09%,10.77,227.37亿,28.77%,808.63亿
2019,376.557,51.302,7.34,1.7589,214.09,25.53%,66.02亿,21.99%,10.25,201.09亿,30.84%,625.45亿
2018,295.5,51.302,5.76,1.7327,170.54,20.77%,54.12亿,18.94%,9.20,165.81亿,31.73%,571.65亿
2017,,,6.23,,141.22,2.83%,45.50亿,13.17%,11.42,145.72亿,32.22%,518.31亿
2016,,,7.98,,137.33,10.71%,40.21亿,8.54%,14.73,126.46亿,29.03%,385.62亿
2015,,,,,124.04,12.49%,37.04亿,5.65%,13.51,112.57亿,29.87%,318.94亿
2014,,,,,110.27,12.81%,35.06亿,-7.44%,12.00,106.10亿,31.84%,261.62亿
2013,,,,,97.75,-0.13%,37.88亿,6.66%,12.29,87.63亿,38.86%,206.13亿
2012,,,,,97.88,30.28%,35.52亿,31.98%,10.44,56.92亿,36.35%,175.13亿
2011,,,,,75.13,49.78%,26.91亿,40.81%,8.63,49.12亿,35.83%,144.28亿
2010,,,,,50.16,37.07%,19.11亿,39.96%,False,29.78亿,38.10%,119.38亿
