报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,111.706,24.4434,4.57,2.2791,36.76,1.18%,15.72亿,5.79%,7.51,42.89亿,43.00%,205.30亿
2024,99.729,24.4434,4.08,2.1169,47.11,3.75%,18.79亿,5.13%,7.25,42.49亿,39.80%,198.95亿
2023,74.853,21.6965,3.45,1.6484,45.41,-5.93%,17.87亿,6.24%,6.93,37.88亿,39.60%,172.11亿
2022,85.05,21.6965,3.92,1.762,48.27,4.57%,16.82亿,29.00%,6.25,33.65亿,35.19%,157.26亿
2021,71.776,18.0796,3.97,1.5549,46.16,10.05%,13.04亿,30.30%,6.87,26.96亿,28.95%,145.66亿
2020,73.765,18.0796,4.08,1.7584,41.95,8.87%,10.01亿,4.87%,6.20,21.86亿,23.74%,113.10亿
2019,69.953,18.0756,3.87,1.8155,38.53,28.48%,9.54亿,14.25%,5.90,18.54亿,24.33%,107.37亿
2018,61.456,18.0753,3.4,2.0492,29.99,24.24%,8.35亿,9.44%,5.24,16.83亿,27.27%,100.11亿
2017,,,7.35,,24.14,-1.06%,7.63亿,10.68%,4.58,13.39亿,31.25%,83.89亿
2016,,,,,24.39,0.98%,6.89亿,2.45%,4.50,11.77亿,28.64%,74.49亿
2015,,,,,24.06,1.77%,6.73亿,-7.93%,4.32,7.34亿,28.31%,71.43亿
2014,,,,,23.64,6.69%,7.31亿,-27.09%,3.90,6.65亿,30.51%,64.53亿
2013,,,,,22.16,6.03%,10.03亿,2.51%,3.36,3.73亿,46.58%,55.94亿
2012,,,,,20.9,13.29%,9.78亿,7.61%,3.08,3.78亿,48.57%,51.15亿
2011,,,,,18.47,36.89%,9.09亿,33.72%,4.11,9.41亿,49.97%,45.21亿
2010,,,,,13.49,36.27%,6.80亿,30.96%,False,7.26亿,50.78%,37.56亿
