报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,895.968,96.4444,9.29,3.3885,198.31,-3.18%,105.67亿,0.78%,13.06,378.63亿,54.53%,1302.13亿
2024,783.129,96.4444,8.12,2.9396,266.41,0.86%,122.88亿,1.20%,12.84,371.50亿,47.32%,1279.82亿
2023,481.258,96.4444,4.99,1.822,264.14,3.07%,121.42亿,10.64%,11.66,362.75亿,47.28%,1163.58亿
2022,464.862,96.4444,4.82,1.814,256.27,6.05%,109.74亿,13.16%,10.56,332.79亿,44.46%,1057.16亿
2021,509.226,96.4444,5.28,2.1074,241.64,9.64%,96.98亿,18.84%,9.72,298.09亿,41.58%,973.31亿
2020,,,,,220.4,3.61%,81.61亿,-7.74%,8.90,276.64亿,38.20%,804.72亿
2019,,,,,212.71,5.59%,88.46亿,21.04%,8.20,249.39亿,42.02%,742.06亿
2018,,,,,201.45,12.41%,73.08亿,7.96%,7.33,205.31亿,35.37%,648.02亿
2017,,,,,179.21,14.17%,67.69亿,14.68%,6.46,176.73亿,37.18%,530.17亿
2016,,,,,156.97,2.70%,59.02亿,4.77%,9.24,156.79亿,38.08%,476.94亿
2015,,,,,152.85,8.01%,56.34亿,16.20%,False,138.86亿,38.00%,433.26亿
2014,,,,,141.51,26.48%,48.48亿,15.02%,False,118.47亿,35.42%,381.44亿
2013,,,,,111.88,2.92%,42.15亿,13.18%,False,94.16亿,38.59%,329.89亿
2012,,,,,108.71,20.42%,37.24亿,16.86%,False,78.40亿,33.63%,296.00亿
2011,,,,,90.27,41.55%,31.87亿,43.58%,False,55.55亿,35.47%,250.66亿
2010,,,,,63.77,26.85%,22.20亿,12.60%,False,32.32亿,34.90%,232.26亿
