报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,233.483,33.1652,7.04,1.9345,90.52,8.15%,33.57亿,12.82%,9.18,134.45亿,39.59%,325.91亿
2024,196.878,30.1498,6.53,1.8047,109.09,10.53%,38.13亿,16.20%,9.50,113.38亿,37.34%,306.69亿
2023,133.481,27.4088,4.87,1.3524,98.7,12.05%,32.82亿,19.60%,9.25,92.60亿,35.53%,271.31亿
2022,152.118,27.4086,5.55,1.7268,88.09,15.07%,27.44亿,25.39%,8.24,66.64亿,33.23%,241.16亿
2021,129.643,27.4086,4.73,1.6936,76.55,16.31%,21.88亿,21.34%,7.22,44.68亿,30.58%,211.37亿
2020,140.606,27.4086,5.13,2.1362,65.82,2.13%,18.03亿,1.01%,6.55,31.64亿,29.42%,191.07亿
2019,169.385,27.4086,6.18,2.6282,64.45,10.67%,17.85亿,20.14%,6.18,25.79亿,29.47%,178.99亿
2018,90.245,22.2279,4.06,1.5495,58.24,16.55%,14.86亿,17.53%,5.67,20.56亿,27.21%,135.36亿
2017,,,4.59,,49.97,11.65%,12.64亿,21.51%,4.71,17.90亿,26.46%,111.09亿
2016,,,6.58,,44.75,28.16%,10.41亿,7.71%,4.43,16.49亿,23.57%,104.31亿
2015,,,,,34.92,13.83%,9.66亿,-3.28%,4.04,12.30亿,28.14%,84.27亿
2014,,,,,30.68,29.73%,9.99亿,1.79%,4.68,10.39亿,32.61%,73.68亿
2013,,,,,23.65,1.26%,9.81亿,12.43%,3.85,10.98亿,42.10%,60.53亿
2012,,,,,23.35,17.54%,8.73亿,10.53%,3.71,10.82亿,37.96%,57.30亿
2011,,,,,19.87,42.28%,7.90亿,39.46%,3.16,7.26亿,40.16%,48.84亿
2010,,,,,13.96,43.19%,5.66亿,17.74%,False,3.77亿,40.92%,41.13亿
