报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,111.843,19.6216,5.7,2.4995,33.56,1.03%,15.26亿,5.85%,9.84,73.05亿,45.92%,195.73亿
2024,106.349,19.6216,5.42,2.4253,43.85,15.29%,19.22亿,11.27%,9.67,61.75亿,44.33%,192.26亿
2023,90.063,19.6216,4.59,2.3676,38.04,7.90%,17.27亿,13.04%,8.47,54.04亿,45.97%,168.70亿
2022,66.713,15.0935,4.42,1.8926,35.25,6.49%,15.28亿,20.20%,9.88,50.53亿,44.01%,151.76亿
2021,116.673,15.0935,7.73,3.5249,33.1,10.02%,12.71亿,15.08%,8.99,43.04亿,39.12%,138.16亿
2020,,,,,30.09,5.19%,11.05亿,6.40%,8.12,35.33亿,37.21%,112.53亿
2019,,,,,28.6,8.32%,10.38亿,7.71%,7.53,30.29亿,36.86%,104.50亿
2018,,,,,26.41,19.06%,9.64亿,20.09%,6.92,26.01亿,37.03%,96.09亿
2017,,,,,22.18,-13.67%,8.03亿,1.57%,False,21.80亿,36.76%,85.52亿
2016,,,,,25.69,6.36%,7.90亿,7.64%,5.70,18.41亿,32.13%,79.35亿
2015,,,,,23.36,-0.28%,7.34亿,-1.91%,5.62,15.44亿,32.07%,74.58亿
2014,,,,,23.43,12.77%,7.48亿,-6.31%,5.53,13.63亿,32.79%,68.07亿
2013,,,,,20.77,1.59%,7.99亿,-16.48%,5.37,11.45亿,39.73%,60.12亿
2012,,,,,20.45,19.62%,9.56亿,20.03%,False,10.79亿,46.77%,52.02亿
2011,,,,,17.1,18.19%,7.97亿,11.15%,False,8.81亿,46.61%,43.37亿
2010,,,,,14.46,False,7.17亿,False,False,8.77亿,49.56%,35.80亿
