报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,260.752,58.2035,4.48,1.7758,110.13,5.03%,39.92亿,15.54%,6.82,95.23亿,37.45%,471.55亿
2024,218.845,58.2035,3.76,1.6213,134.98,8.22%,42.64亿,20.16%,6.45,66.95亿,32.63%,449.00亿
2023,164.134,58.2035,2.82,1.316,124.72,7.11%,35.49亿,15.11%,5.61,50.11亿,29.44%,399.39亿
2022,171.7,58.2035,2.95,1.4746,116.44,4.56%,30.83亿,5.48%,5.05,38.23亿,27.20%,365.93亿
2021,162.349,45.0969,3.6,1.4579,111.36,5.65%,29.23亿,22.08%,5.20,35.07亿,26.88%,333.28亿
2020,201.132,45.0969,4.46,1.9081,105.41,9.61%,23.94亿,4.78%,4.97,26.19亿,23.27%,309.07亿
2019,193.466,45.0969,4.29,2.0119,96.16,30.44%,22.85亿,12.92%,4.89,25.29亿,24.29%,304.78亿
2018,,,,,73.72,32.04%,20.23亿,6.48%,4.71,23.20亿,27.72%,274.97亿
2017,,,,,55.83,-7.25%,19.00亿,-9.02%,4.38,26.04亿,34.10%,261.23亿
2016,,,,,60.19,20.12%,20.89亿,15.15%,4.35,19.78亿,34.70%,176.36亿
2015,,,,,50.11,15.46%,18.14亿,21.29%,4.14,22.15亿,36.20%,166.14亿
2014,,,,,43.4,23.12%,14.95亿,30.95%,3.83,18.65亿,34.46%,97.85亿
2013,,,,,35.25,22.82%,11.42亿,24.12%,3.21,12.76亿,32.39%,82.05亿
2012,,,,,28.7,15.49%,9.20亿,24.59%,False,8.94亿,32.06%,74.37亿
2011,,,,,24.85,57.80%,7.38亿,43.52%,False,7.41亿,29.72%,69.58亿
2010,,,,,15.75,44.37%,5.15亿,22.77%,False,2.39亿,32.67%,41.45亿
