报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,834.925,274.6464,3.04,1.2797,489.31,-6.78%,116.68亿,-9.59%,6.46,570.41亿,24.85%,2067.34亿
2024,766.263,274.6464,2.79,1.1327,676.5,6.19%,151.86亿,0.92%,6.33,523.96亿,23.20%,2027.43亿
2023,623.447,274.6464,2.27,0.9787,637.04,4.29%,150.48亿,10.50%,5.87,494.58亿,24.32%,1895.77亿
2022,495.561,212.687,2.33,0.8113,610.85,12.14%,136.18亿,7.67%,6.49,446.57亿,22.90%,1659.30亿
2021,589.143,212.687,2.77,1.0816,544.71,14.19%,126.48亿,2.75%,5.84,368.27亿,23.71%,1668.83亿
2020,659.33,212.687,3.1,1.3822,477.03,2.89%,123.09亿,-4.76%,5.43,323.89亿,26.33%,1325.43亿
2019,735.897,212.687,3.46,1.5872,463.64,19.06%,129.24亿,12.48%,5.23,289.85亿,28.35%,1280.27亿
2018,,,,,389.43,13.80%,114.90亿,4.94%,4.59,192.03亿,29.69%,1024.49亿
2017,,,,,342.22,2.15%,109.50亿,7.85%,4.08,147.30亿,32.06%,896.88亿
2016,,,,,335.02,33.98%,101.53亿,44.00%,3.76,127.93亿,30.31%,674.75亿
2015,,,,,250.05,44.71%,70.51亿,38.37%,3.42,109.91亿,28.20%,496.57亿
2014,,,,,172.8,28.64%,50.96亿,3.96%,2.88,82.48亿,29.49%,331.50亿
2013,,,,,134.32,28.89%,49.01亿,21.75%,False,44.56亿,36.49%,278.08亿
2012,,,,,104.22,23.30%,40.26亿,41.26%,False,46.59亿,38.63%,227.09亿
2011,,,,,84.53,56.17%,28.50亿,73.46%,False,30.37亿,33.72%,206.86亿
2010,,,,,54.12,63.42%,16.43亿,89.50%,False,9.92亿,30.35%,178.16亿
