报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,112.486,24.6139,4.57,2.6331,32.04,6.17%,12.78亿,13.38%,7.78,45.75亿,39.26%,193.91亿
2024,100.179,24.6139,4.07,2.5285,39.62,2.51%,20.37亿,7.88%,7.55,50.89亿,51.04%,188.59亿
2023,68.637,21.7207,3.16,1.7759,38.65,2.25%,18.88亿,16.83%,7.10,47.76亿,52.26%,160.76亿
2022,73.198,21.7205,3.37,1.9365,37.8,12.27%,16.16亿,26.88%,6.41,41.03亿,42.78%,144.16亿
2021,67.984,21.7201,3.13,2.0191,33.67,0.46%,12.74亿,20.51%,5.83,35.50亿,38.16%,131.66亿
2020,72.328,21.72,3.33,2.1584,33.51,-1.56%,10.57亿,4.36%,5.42,31.73亿,31.93%,122.60亿
2019,75.368,21.7198,3.47,2.2141,34.04,6.86%,10.13亿,18.12%,5.25,30.11亿,29.72%,118.73亿
2018,55.32,17.6741,3.13,1.7363,31.86,27.09%,8.57亿,6.05%,5.72,29.41亿,24.49%,106.39亿
2017,,,5.03,,25.07,1.53%,8.08亿,3.92%,5.18,27.04亿,30.24%,93.54亿
2016,,,6.51,,24.69,-1.39%,7.78亿,-4.49%,4.95,24.98亿,31.08%,90.13亿
2015,,,,,25.04,6.02%,8.14亿,-0.42%,4.64,21.00亿,32.54%,75.14亿
2014,,,,,23.62,3.22%,8.18亿,-18.18%,5.02,17.68亿,36.04%,65.47亿
2013,,,,,22.89,-3.24%,10.00亿,1.90%,4.37,18.78亿,44.88%,57.10亿
2012,,,,,23.65,22.84%,9.81亿,10.92%,4.25,16.59亿,42.26%,50.59亿
2011,,,,,19.26,15.54%,8.84亿,3.49%,3.73,14.05亿,46.73%,44.16亿
2010,,,,,16.67,30.34%,8.55亿,36.51%,False,11.32亿,51.64%,35.56亿
