报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,2214.215,194.0592,11.41,1.6496,1006.68,-9.78%,383.39亿,-3.50%,23.08,2680.47亿,38.08%,5179.30亿
2024,2155.998,194.0592,11.11,1.4697,1466.95,-10.93%,445.08亿,-4.19%,21.89,2436.05亿,30.34%,4948.42亿
2023,1581.582,194.0592,8.15,0.9603,1646.99,-8.45%,464.55亿,2.06%,20.74,2212.55亿,28.21%,4723.28亿
2022,2161.819,194.0592,11.14,1.2017,1798.95,6.21%,455.16亿,25.26%,18.80,1863.05亿,25.30%,4346.80亿
2021,2660.552,194.0592,13.71,1.5707,1693.83,10.32%,363.36亿,25.61%,16.77,1543.77亿,21.45%,3954.48亿
2020,3097.185,194.0592,15.96,2.0172,1535.42,11.30%,289.28亿,2.60%,15.16,1311.86亿,18.84%,3641.31亿
2019,2590.69,194.0592,13.35,1.8779,1379.58,18.20%,281.95亿,13.61%,14.07,1133.70亿,20.44%,3129.83亿
2018,1292.932,171.7041,7.53,1.1078,1167.16,10.33%,248.18亿,7.02%,12.82,950.37亿,21.26%,2400.42亿
2017,,,10.51,,1057.86,-1.79%,231.89亿,2.61%,11.77,796.61亿,21.92%,2220.54亿
2016,,,7.09,,1077.15,12.01%,225.99亿,3.36%,10.61,641.43亿,20.98%,2021.71亿
2015,,,7.67,,961.63,31.00%,218.65亿,10.42%,11.29,529.33亿,22.74%,1615.00亿
2014,,,8.37,,734.07,40.66%,198.02亿,30.01%,11.46,436.56亿,26.98%,1309.49亿
2013,,,5.32,,521.89,31.30%,152.31亿,13.64%,11.77,299.63亿,29.18%,1120.81亿
2012,,,4.31,,397.49,34.09%,134.03亿,30.40%,16.55,230.77亿,33.99%,847.99亿
2011,,,4.16,,296.43,64.94%,102.79亿,64.55%,14.31,158.64亿,35.05%,753.81亿
2010,,,4.22,,179.72,19.24%,62.47亿,24.17%,9.62,87.41亿,34.87%,335.13亿
