报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,99.213,36.61,2.71,2.2734,32.73,-5.42%,12.04亿,-10.90%,5.49,32.42亿,36.78%,204.28亿
2024,98.846,36.6098,2.7,2.2148,44.63,0.98%,16.24亿,0.30%,5.45,31.14亿,36.38%,199.36亿
2023,84.569,36.6098,2.31,1.9133,44.2,-1.93%,16.19亿,1.16%,5.05,30.92亿,36.62%,184.72亿
2022,83.104,36.6098,2.27,1.8439,45.07,0.10%,16.00亿,5.61%,4.67,28.81亿,35.51%,170.97亿
2021,103.971,36.6096,2.84,2.3094,45.02,0.57%,15.15亿,5.11%,4.37,26.41亿,33.66%,159.99亿
2020,127.399,36.6089,3.48,2.8456,44.77,-4.25%,14.41亿,1.72%,3.93,24.36亿,32.20%,148.15亿
2019,165.838,36.6089,4.53,3.5473,46.75,10.54%,14.17亿,13.03%,3.76,22.84亿,30.31%,137.49亿
2018,,,,,42.3,16.77%,12.54亿,10.20%,3.36,15.25亿,29.64%,122.94亿
2017,,,,,36.22,5.24%,11.38亿,10.13%,3.02,13.42亿,31.41%,99.55亿
2016,,,,,34.42,16.96%,10.33亿,23.04%,2.83,16.00亿,30.02%,93.14亿
2015,,,,,29.43,18.35%,8.40亿,12.15%,2.54,12.17亿,28.53%,60.25亿
2014,,,,,24.86,15.41%,7.49亿,29.65%,2.27,10.01亿,30.11%,53.84亿
2013,,,,,21.54,10.68%,5.77亿,15.03%,1.86,7.51亿,26.80%,46.28亿
2012,,,,,19.47,5.30%,5.02亿,17.49%,False,5.43亿,25.79%,42.43亿
2011,,,,,18.49,18.14%,4.27亿,4.40%,False,4.63亿,25.03%,37.21亿
2010,,,,,15.65,False,4.09亿,False,False,3.74亿,26.16%,22.69亿
