报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,28263.016,3564.0626,7.93,3.3119,6400.28,2.17%,2699.08亿,0.33%,10.73,2.22万亿,42.48%,4.19万亿
2024,23237.688,3564.0626,6.52,2.8276,8218.03,-2.52%,3658.63亿,0.51%,10.23,2.01万亿,44.65%,3.99万亿
2023,15254.188,3564.0626,4.28,1.8094,8430.7,-3.73%,3639.93亿,0.79%,9.55,1.91万亿,43.31%,3.78万亿
2022,12973.188,3564.0626,3.64,1.4814,8757.34,-2.63%,3611.32亿,3.67%,8.81,1.77万亿,39.33%,3.52万亿
2021,13008.828,3564.0626,3.65,1.3799,9427.62,6.81%,3483.38亿,10.27%,8.15,1.62万亿,37.15%,3.28万亿
2020,13293.953,3564.0626,3.73,1.5061,8826.65,3.18%,3159.06亿,1.18%,7.48,1.51万亿,35.99%,2.91万亿
2019,14897.782,3564.0626,4.18,1.7416,8554.28,10.52%,3122.24亿,4.89%,6.93,1.37万亿,36.64%,2.69万亿
2018,12830.625,3564.0626,3.6,1.6582,7737.89,6.51%,2976.76亿,4.06%,6.30,1.21万亿,38.61%,2.34万亿
2017,,,4.04,,7265.02,7.49%,2860.49亿,2.80%,5.73,1.10万亿,39.57%,2.14万亿
2016,,,2.74,,6758.91,-3.12%,2782.49亿,0.40%,5.29,9406.63亿,41.29%,1.98万亿
2015,,,2.7,,6976.47,5.88%,2771.31亿,0.48%,4.80,7819.88亿,39.81%,1.80万亿
2014,,,2.75,,6588.92,11.75%,2758.11亿,5.01%,4.33,6502.36亿,41.93%,1.54万亿
2013,,,1.88,,5896.37,9.81%,2626.49亿,10.11%,3.63,5119.49亿,44.60%,1.28万亿
2012,,,2.05,,5369.45,12.99%,2385.32亿,14.53%,3.22,3725.41亿,44.45%,1.13万亿
2011,,,1.99,,4752.14,24.79%,2082.65亿,26.10%,2.74,3133.34亿,43.86%,9578.23亿
2010,,,1.91,,3808.21,23.06%,1651.56亿,28.43%,2.35,2011.57亿,43.60%,8216.57亿
