报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,6406.374,883.6378,7.25,2.4067,1996.45,1.80%,699.94亿,1.90%,12.85,3758.61亿,35.52%,1.29万亿
2024,5369.195,742.6273,7.23,2.0665,2598.26,0.87%,935.86亿,0.93%,13.06,3482.65亿,36.27%,1.16万亿
2023,3772.547,742.6273,5.08,1.4645,2575.95,0.31%,927.28亿,0.68%,12.30,3267.44亿,36.20%,1.10万亿
2022,2918.525,742.6273,3.93,1.1365,2567.96,1.33%,921.02亿,5.16%,11.43,2927.34亿,33.71%,1.03万亿
2021,2636.327,742.6273,3.55,0.9786,2693.9,9.42%,875.81亿,11.89%,10.64,2580.74亿,33.02%,9772.36亿
2020,2391.26,742.6273,3.22,0.9713,2462.0,5.91%,782.74亿,1.28%,9.87,2144.48亿,32.32%,8786.28亿
2019,2829.41,742.6273,3.81,1.2171,2324.72,9.32%,772.81亿,4.96%,9.34,1771.41亿,33.58%,8009.12亿
2018,2770.0,742.6273,3.73,1.3026,2126.54,8.49%,736.30亿,4.85%,8.60,1291.61亿,34.88%,7053.08亿
2017,,,3.81,,1960.11,1.46%,702.23亿,4.48%,8.23,1245.14亿,36.06%,6762.71亿
2016,,,3.38,,1931.94,-0.36%,672.10亿,1.03%,7.67,1006.98亿,35.03%,6324.07亿
2015,,,3.6,,1938.28,9.26%,665.28亿,1.03%,7.00,730.98亿,34.48%,5380.92亿
2014,,,3.67,,1774.01,7.89%,658.50亿,5.71%,6.34,718.25亿,37.22%,4736.05亿
2013,,,1.93,,1644.35,11.60%,622.95亿,6.73%,5.65,673.30亿,37.99%,4214.84亿
2012,,,2.34,,1473.37,16.05%,583.69亿,15.05%,5.12,778.68亿,39.69%,3814.47亿
2011,,,2.08,,1269.56,21.80%,507.35亿,29.95%,4.39,463.67亿,40.03%,2727.88亿
2010,,,2.3,,1042.34,28.78%,390.42亿,29.82%,3.96,299.41亿,37.58%,2236.57亿
