报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,164.444,44.4444,3.7,1.6036,76.91,39.11%,20.33亿,5.51%,7.76,182.52亿,26.40%,395.67亿
2024,156.444,44.4444,3.52,1.9102,81.9,13.68%,25.59亿,3.91%,7.52,166.63亿,31.26%,334.72亿
2023,142.222,44.4444,3.2,1.9739,72.05,9.70%,24.62亿,1.56%,6.94,149.44亿,34.21%,309.26亿
2022,143.555,44.4444,3.23,2.1857,65.68,-8.82%,24.24亿,-13.55%,6.57,133.88亿,36.94%,292.48亿
2021,167.111,44.4444,3.76,2.32,72.03,0.91%,28.04亿,1.73%,6.20,124.19亿,38.97%,276.03亿
2020,207.555,44.4444,4.67,2.9077,71.38,4.27%,27.56亿,3.05%,5.75,111.31亿,38.66%,256.24亿
2019,280.0,44.4444,6.3,4.0906,68.45,14.55%,26.75亿,13.27%,5.31,99.92亿,39.13%,236.68亿
2018,,,,,59.76,21.31%,23.62亿,10.82%,4.99,88.62亿,39.58%,199.94亿
2017,,,,,49.26,9.04%,21.31亿,5.96%,4.42,69.97亿,42.65%,177.15亿
2016,,,,,45.18,-4.04%,20.11亿,1.09%,3.98,55.49亿,44.57%,159.72亿
2015,,,,,47.08,14.71%,19.90亿,10.11%,3.59,55.02亿,42.35%,144.19亿
2014,,,,,41.04,19.58%,18.07亿,10.82%,3.25,43.85亿,44.11%,98.26亿
2013,,,,,34.32,10.27%,16.31亿,12.07%,2.74,31.49亿,47.55%,82.91亿
2012,,,,,31.13,19.11%,14.55亿,31.41%,False,25.50亿,46.77%,67.74亿
2011,,,,,26.13,46.84%,11.07亿,34.03%,False,15.83亿,42.37%,55.37亿
2010,,,,,17.8,10.65%,8.26亿,15.38%,False,8.25亿,43.56%,44.63亿
