报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,1435.11,142.0901,10.1,2.6163,411.4,4.04%,180.75亿,2.77%,16.91,772.55亿,43.90%,2605.19亿
2024,1233.141,142.0669,8.68,2.3273,529.86,4.79%,235.60亿,4.50%,16.49,760.09亿,44.47%,2546.57亿
2023,730.223,142.0667,5.14,1.4442,505.64,-4.80%,225.45亿,1.19%,15.39,741.85亿,44.64%,2390.49亿
2022,674.816,142.0666,4.75,1.2706,531.12,-5.54%,222.80亿,1.08%,14.16,683.84亿,42.02%,2216.49亿
2021,764.317,142.0664,5.38,1.3593,562.3,10.81%,220.42亿,5.54%,13.04,631.16亿,39.27%,2057.68亿
2020,799.828,142.0653,5.63,1.5761,507.46,1.90%,208.85亿,2.89%,12.00,569.67亿,41.21%,1909.39亿
2019,927.686,142.0653,6.53,1.8628,498.0,13.47%,202.98亿,12.55%,11.03,519.34亿,40.83%,1772.27亿
2018,622.902,109.281,5.7,1.4193,438.88,32.49%,180.34亿,17.65%,12.93,476.58亿,41.17%,1617.69亿
2017,,,4.99,,331.25,-3.72%,153.28亿,7.13%,16.27,391.26亿,46.30%,1474.41亿
2016,,,6.19,,344.04,3.77%,143.08亿,10.04%,19.28,355.43亿,41.63%,1162.19亿
2015,,,,,331.59,18.01%,130.02亿,14.29%,17.10,296.36亿,39.34%,928.34亿
2014,,,,,280.98,30.88%,113.76亿,21.77%,15.73,249.43亿,40.57%,743.59亿
2013,,,,,214.67,24.16%,93.42亿,24.42%,13.22,196.83亿,43.60%,563.20亿
2012,,,,,172.9,22.09%,75.09亿,29.33%,9.91,166.51亿,43.48%,422.72亿
2011,,,,,141.62,9.37%,58.06亿,15.47%,8.30,127.34亿,41.00%,352.76亿
2010,,,,,129.49,37.23%,50.28亿,38.79%,False,101.15亿,38.83%,294.87亿
