报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,1413.156,123.6357,11.43,2.5266,419.49,8.79%,180.05亿,8.06%,14.72,842.11亿,43.25%,2154.92亿
2024,1128.894,110.6759,10.2,2.2455,502.73,11.32%,201.77亿,9.05%,14.33,707.42亿,40.51%,1919.56亿
2023,668.205,103.4373,6.46,1.4796,451.6,1.24%,185.02亿,0.51%,13.50,665.87亿,41.25%,1725.94亿
2022,884.056,103.3984,8.55,1.9819,446.06,9.00%,184.08亿,16.09%,12.22,585.16亿,41.57%,1576.99亿
2021,705.5,100.0709,7.05,1.7239,409.25,18.74%,158.57亿,21.04%,11.14,494.59亿,39.01%,1225.65亿
2020,612.43,100.0702,6.12,1.777,344.65,6.24%,131.01亿,5.20%,9.69,408.71亿,38.33%,1080.33亿
2019,535.227,84.8221,6.31,1.6498,324.42,18.38%,124.53亿,12.47%,9.08,347.15亿,38.74%,879.28亿
2018,376.61,84.8221,4.44,1.3742,274.06,10.33%,110.73亿,14.53%,8.01,280.83亿,40.82%,787.66亿
2017,,,5.08,,248.39,-6.68%,96.68亿,17.02%,6.77,224.56亿,39.30%,682.11亿
2016,,,4.97,,266.16,16.60%,82.62亿,18.01%,8.59,156.99亿,31.35%,623.78亿
2015,,,4.41,,228.3,42.77%,70.01亿,24.82%,14.01,126.34亿,30.95%,524.14亿
2014,,,3.53,,159.92,52.62%,56.09亿,24.72%,10.93,104.70亿,35.37%,327.84亿
2013,,,1.84,,104.78,14.96%,44.97亿,12.07%,8.96,79.28亿,43.24%,268.56亿
2012,,,2.0,,91.14,22.14%,40.13亿,24.94%,8.29,61.32亿,44.37%,248.11亿
2011,,,1.95,,74.63,40.66%,32.12亿,38.97%,7.29,50.14亿,43.35%,218.04亿
2010,,,2.04,,53.06,46.25%,23.11亿,49.70%,6.34,31.99亿,43.70%,189.70亿
