报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,130.145,21.9468,5.93,2.5925,37.65,3.87%,18.33亿,3.78%,10.18,59.50亿,48.74%,244.70亿
2024,123.122,21.9468,5.61,2.6052,47.26,4.15%,22.52亿,2.35%,9.68,46.24亿,47.68%,233.66亿
2023,99.169,21.5117,4.61,2.1853,45.38,1.28%,22.00亿,9.96%,8.63,33.60亿,48.66%,212.00亿
2022,86.196,18.6168,4.63,1.924,44.8,3.01%,20.01亿,26.65%,7.80,21.28亿,44.91%,195.20亿
2021,89.919,18.6168,4.83,2.0676,43.49,11.63%,15.80亿,20.47%,7.09,15.57亿,37.20%,159.24亿
2020,92.6,18.483,5.01,2.3768,38.96,10.07%,13.12亿,4.96%,6.42,11.57亿,33.93%,140.70亿
2019,81.508,18.4826,4.41,2.3025,35.4,10.89%,12.50亿,14.07%,5.97,8.29亿,35.37%,117.30亿
2018,74.667,18.482,4.04,2.3392,31.92,11.95%,10.96亿,10.11%,5.87,7.33亿,33.70%,109.29亿
2017,,,5.93,,28.51,13.16%,9.95亿,11.45%,5.01,4.72亿,34.82%,93.52亿
2016,,,8.14,,25.2,5.22%,8.93亿,7.13%,4.75,2.53亿,35.04%,88.73亿
2015,,,,,23.97,5.19%,8.33亿,-9.97%,4.33,1.52亿,34.17%,73.18亿
2014,,,,,22.78,10.64%,9.26亿,0.03%,3.86,2.17亿,40.28%,65.37亿
2013,,,,,20.59,3.39%,9.25亿,6.98%,3.39,2.28亿,45.26%,57.77亿
2012,,,,,19.92,16.03%,8.65亿,19.01%,2.98,2.24亿,43.57%,50.84亿
2011,,,,,17.17,False,7.27亿,False,3.52,1.65亿,42.80%,43.72亿
