报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,390.09,40.2155,9.7,1.4835,197.21,1.29%,65.57亿,6.00%,17.37,382.48亿,33.56%,832.11亿
2024,335.397,40.2155,8.34,1.2932,259.36,4.57%,78.27亿,4.87%,16.67,343.01亿,30.49%,803.50亿
2023,245.315,40.2155,6.1,0.9891,248.03,8.46%,74.63亿,9.57%,14.95,302.22亿,31.66%,683.19亿
2022,232.446,40.2155,5.78,1.0165,228.68,9.58%,68.11亿,8.04%,13.49,258.52亿,31.24%,621.72亿
2021,255.771,40.2155,6.36,1.2257,208.68,15.79%,63.04亿,18.09%,12.19,222.59亿,31.48%,566.46亿
2020,255.932,34.2155,7.48,1.4201,180.22,5.91%,53.38亿,5.08%,11.21,186.96亿,30.85%,457.23亿
2019,235.06,34.2155,6.87,1.3813,170.17,22.07%,50.80亿,13.43%,10.12,152.78亿,30.90%,418.33亿
2018,214.531,34.2155,6.27,1.5388,139.41,14.95%,44.79亿,13.94%,9.06,128.82亿,32.84%,317.81亿
2017,,,,,121.28,20.79%,39.31亿,23.22%,7.56,93.51亿,32.86%,239.97亿
2016,,,,,100.4,20.44%,31.90亿,16.77%,6.48,71.39亿,32.39%,203.62亿
2015,,,,,83.37,29.72%,27.32亿,14.21%,5.71,57.75亿,33.20%,178.16亿
2014,,,,,64.27,24.87%,23.92亿,9.98%,4.99,47.48亿,37.23%,132.52亿
2013,,,,,51.47,22.30%,21.75亿,13.70%,4.05,39.21亿,42.73%,93.85亿
2012,,,,,42.08,28.40%,19.13亿,35.96%,False,26.59亿,46.23%,75.33亿
2011,,,,,32.77,44.38%,14.07亿,62.42%,False,17.33亿,43.33%,58.36亿
2010,,,,,22.7,31.12%,8.66亿,11.16%,False,9.61亿,38.29%,45.77亿
