报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,129.292,56.957,2.27,1.6372,59.23,-2.14%,15.04亿,0.65%,5.34,93.59亿,26.05%,408.17亿
2024,131.571,56.957,2.31,1.6752,78.54,-2.02%,18.88亿,1.29%,5.36,84.30亿,24.73%,358.89亿
2023,133.279,56.957,2.34,1.6627,80.16,7.59%,18.64亿,7.55%,4.91,79.95亿,23.86%,332.82亿
2022,185.68,56.957,3.26,2.4923,74.5,-4.92%,17.33亿,10.66%,4.67,75.38亿,23.80%,319.14亿
2021,,,,,78.36,7.29%,15.66亿,4.90%,4.63,72.45亿,20.45%,290.08亿
2020,,,,,73.04,-4.12%,14.93亿,1.96%,4.32,70.13亿,20.98%,274.32亿
2019,,,,,76.18,12.03%,14.64亿,-34.85%,4.19,65.46亿,19.62%,217.19亿
2018,,,,,68.0,3.38%,22.48亿,-4.80%,4.10,65.03亿,33.32%,212.50亿
2017,,,,,65.77,8.17%,23.61亿,11.11%,3.63,46.23亿,36.15%,188.34亿
2016,,,,,60.81,12.25%,21.25亿,21.51%,3.17,26.48亿,34.96%,164.53亿
2015,,,,,54.17,12.75%,17.49亿,17.48%,2.78,14.55亿,32.28%,142.58亿
2014,,,,,48.05,45.58%,14.89亿,33.17%,2.60,11.84亿,30.98%,94.18亿
2013,,,,,33.0,1.78%,11.18亿,-13.00%,2.26,7.59亿,33.87%,81.94亿
2012,,,,,32.43,42.98%,12.85亿,97.65%,False,4.61亿,31.25%,44.47亿
2011,,,,,20.13,38.51%,6.50亿,94.36%,False,8.15亿,32.39%,42.41亿
2010,,,,,14.77,89.20%,3.34亿,104.23%,False,3.00亿,22.64%,35.61亿
