报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,193.712,26.3913,7.34,3.3889,42.87,3.02%,19.39亿,0.25%,9.97,98.22亿,47.25%,331.06亿
2024,142.777,26.3913,5.41,2.4792,57.59,2.79%,25.95亿,-2.60%,9.72,85.18亿,46.98%,323.69亿
2023,117.969,26.3913,4.47,2.1055,56.03,-4.96%,26.64亿,6.30%,9.05,79.37亿,49.13%,305.14亿
2022,126.15,26.3913,4.78,2.1399,58.95,10.90%,25.06亿,15.56%,8.22,67.48亿,43.62%,247.44亿
2021,145.944,26.3913,5.53,2.7454,53.16,-4.32%,21.69亿,18.99%,7.68,55.85亿,41.63%,232.65亿
2020,273.414,26.3913,10.36,4.9211,55.56,23.20%,18.23亿,6.53%,6.96,47.49亿,33.41%,196.74亿
2019,,,,,45.09,7.73%,17.11亿,21.41%,6.44,37.81亿,38.51%,155.72亿
2018,,,,,41.86,13.57%,14.09亿,15.92%,5.77,25.80亿,33.81%,139.56亿
2017,,,,,36.86,1.88%,12.16亿,17.82%,5.07,15.85亿,33.18%,122.99亿
2016,,,,,36.18,12.56%,10.32亿,15.93%,4.81,10.06亿,28.56%,92.55亿
2015,,,,,32.14,39.44%,8.90亿,23.10%,4.39,4.75亿,27.69%,82.28亿
2014,,,,,23.05,49.87%,7.23亿,39.11%,3.94,4.35亿,31.37%,62.52亿
2013,,,,,15.38,7.29%,5.20亿,11.20%,False,4.93亿,33.79%,46.88亿
2012,,,,,14.34,11.33%,4.67亿,23.48%,False,1.66亿,32.60%,43.83亿
2011,,,,,12.88,127.10%,3.78亿,177.47%,False,2.40亿,29.39%,30.44亿
2010,,,,,5.67,48.30%,1.36亿,116.27%,False,7818.23万,24.06%,20.46亿
