报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,1158.635,211.4298,5.48,1.6845,515.88,-1.08%,210.64亿,0.26%,13.14,1323.32亿,40.91%,3871.45亿
2024,1238.979,211.4298,5.86,1.7594,704.2,4.81%,263.34亿,2.77%,12.73,1164.02亿,37.03%,3559.84亿
2023,862.634,211.4298,4.08,1.2931,667.11,0.66%,256.24亿,3.49%,11.78,1107.11亿,38.57%,3282.32亿
2022,765.376,211.4298,3.62,1.1548,662.76,0.0015%,247.60亿,11.40%,10.91,1021.55亿,37.62%,3106.17亿
2021,735.776,211.4298,3.48,1.1102,662.75,3.07%,222.26亿,3.45%,10.27,929.02亿,33.79%,2970.78亿
2020,750.576,211.4298,3.55,1.1673,642.99,1.85%,214.84亿,0.20%,9.52,822.94亿,33.66%,2211.43亿
2019,830.919,211.4298,3.93,1.3162,631.29,13.77%,214.41亿,7.19%,8.95,714.31亿,34.20%,2089.63亿
2018,782.29,211.4298,3.7,1.4098,554.88,10.20%,200.02亿,6.77%,8.26,616.16亿,36.29%,1941.34亿
2017,,,4.5,,503.53,6.10%,187.33亿,5.23%,7.43,521.19亿,37.50%,1767.14亿
2016,,,4.99,,474.56,7.66%,178.02亿,5.72%,8.17,453.03亿,37.77%,1437.79亿
2015,,,4.38,,440.81,19.53%,168.39亿,7.78%,8.81,382.52亿,38.30%,1168.14亿
2014,,,3.71,,368.78,20.28%,156.23亿,16.12%,9.08,326.99亿,42.43%,961.44亿
2013,,,2.08,,306.59,10.24%,134.54亿,15.24%,8.88,241.29亿,43.91%,783.06亿
2012,,,2.44,,278.17,34.20%,116.75亿,30.49%,8.14,181.98亿,42.00%,716.91亿
2011,,,1.99,,207.28,32.57%,89.47亿,31.51%,8.09,171.23亿,43.16%,504.34亿
2010,,,2.4,,156.35,31.45%,68.03亿,20.75%,6.83,123.00亿,43.53%,425.67亿
