报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,24276.515,2616.0038,9.28,3.1737,5737.02,0.82%,2573.60亿,0.62%,13.12,1.98万亿,45.05%,3.66万亿
2024,20575.904,2500.1098,8.23,2.7546,7469.7,-2.54%,3355.77亿,0.88%,12.65,1.78万亿,44.83%,3.34万亿
2023,14450.635,2500.1098,5.78,1.8773,7697.36,-1.79%,3326.53亿,2.44%,11.80,1.67万亿,43.19%,3.17万亿
2022,11725.515,2500.1098,4.69,1.4961,7837.6,-0.22%,3247.27亿,7.34%,10.87,1.53万亿,39.29%,2.88万亿
2021,11475.504,2500.1098,4.59,1.3922,8242.46,9.05%,3025.13亿,11.61%,9.95,1.39万亿,36.87%,2.61万亿
2020,11675.513,2500.1098,4.67,1.5447,7558.58,7.12%,2710.50亿,1.62%,9.06,1.24万亿,36.19%,2.39万亿
2019,12825.563,2500.1098,5.13,1.8176,7056.29,7.09%,2667.33亿,4.74%,8.39,1.12万亿,38.15%,2.24万亿
2018,10850.477,2500.1098,4.34,1.6468,6588.91,5.99%,2546.55亿,5.11%,7.65,9908.72亿,38.80%,1.99万亿
2017,,,5.0,,6216.59,2.74%,2422.64亿,4.67%,6.86,8869.21亿,39.19%,1.80万亿
2016,,,3.39,,6050.9,-0.02%,2314.60亿,1.45%,6.28,7868.60亿,38.41%,1.59万亿
2015,,,3.41,,6051.97,6.09%,2281.45亿,0.14%,5.74,6721.54亿,37.82%,1.45万亿
2014,,,3.8,,5704.7,12.16%,2278.30亿,6.14%,4.97,5587.05亿,40.01%,1.25万亿
2013,,,2.17,,5086.08,10.39%,2146.57亿,11.12%,4.26,4440.84亿,42.30%,1.07万亿
2012,,,2.27,,4607.46,16.03%,1931.79亿,14.13%,3.77,3910.34亿,42.02%,9495.45亿
2011,,,2.12,,3970.9,22.75%,1692.58亿,25.52%,3.24,2892.66亿,42.67%,8166.61亿
2010,,,2.05,,3234.89,21.07%,1348.44亿,26.31%,2.80,1959.50亿,41.74%,7009.05亿
