报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,10350.226,252.1985,41.04,3.0875,2514.2,-0.51%,1137.72亿,0.52%,43.21,6949.35亿,45.56%,1.28万亿
2024,9260.729,252.1985,36.72,2.744,3374.88,-0.48%,1483.91亿,1.22%,41.46,6340.78亿,44.32%,1.23万亿
2023,6183.907,252.1985,24.52,1.8235,3391.23,-1.64%,1466.02亿,6.22%,36.71,5683.72亿,43.64%,1.09万亿
2022,7845.895,252.1985,31.11,2.2756,3447.83,4.08%,1380.12亿,15.08%,32.71,4929.71亿,40.40%,9542.38亿
2021,9830.698,252.1985,38.98,2.9677,3312.53,14.04%,1199.22亿,23.20%,29.01,4285.92亿,36.48%,8656.81亿
2020,8650.409,252.1985,34.3,2.978,2904.82,7.70%,973.42亿,4.82%,25.36,3702.65亿,33.72%,7303.54亿
2019,7172.525,252.1985,28.44,2.6594,2697.03,8.51%,928.67亿,15.28%,22.89,3216.10亿,34.64%,6177.07亿
2018,4683.326,252.1985,18.57,1.8842,2485.55,12.52%,805.60亿,14.84%,20.07,2743.61亿,32.52%,5436.05亿
2017,,,20.71,,2208.97,5.33%,701.50亿,13.00%,17.69,2410.63亿,31.98%,4833.92亿
2016,,,12.15,,2097.2,3.75%,620.81亿,7.60%,15.95,1991.10亿,29.84%,4033.62亿
2015,,,11.93,,2014.71,21.47%,576.96亿,3.19%,14.31,1632.89亿,28.80%,3617.58亿
2014,,,10.61,,1658.63,25.08%,559.11亿,8.06%,12.47,1385.62亿,33.79%,3150.60亿
2013,,,6.54,,1326.04,16.97%,517.43亿,14.30%,10.53,1111.07亿,39.02%,2659.56亿
2012,,,7.72,,1133.67,17.90%,452.68亿,25.30%,9.29,849.19亿,39.94%,2004.01亿
2011,,,6.42,,961.57,34.72%,361.29亿,40.20%,7.65,735.08亿,37.57%,1650.10亿
2010,,,6.78,,713.77,38.74%,257.69亿,41.32%,6.21,490.63亿,36.10%,1340.06亿
