报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2025-09-30,175.477,90.9209,1.93,1.4008,93.95,3.91%,22.79亿,1.56%,5.03,177.35亿,24.48%,576.14亿
2024,189.115,90.9209,2.08,1.4686,128.77,-5.78%,18.76亿,1.39%,4.89,156.38亿,14.47%,562.95亿
2023,180.933,90.9209,1.99,1.3239,136.67,-9.50%,18.50亿,-23.62%,4.67,153.05亿,13.61%,543.15亿
2022,175.229,82.6554,2.12,1.1604,151.01,2.03%,24.22亿,-24.92%,4.93,146.18亿,17.22%,526.25亿
2021,235.568,82.6554,2.85,1.5916,148.01,1.33%,32.26亿,1.85%,4.83,137.03亿,22.96%,594.12亿
2020,274.266,75.1413,3.65,1.8776,146.07,8.30%,31.68亿,-3.58%,4.88,116.55亿,22.74%,459.72亿
2019,199.569,59.2193,3.37,1.4797,134.87,20.88%,32.85亿,7.40%,5.20,103.33亿,25.01%,398.92亿
2018,211.413,59.2193,3.57,1.8949,111.57,9.44%,30.59亿,-28.53%,4.87,95.18亿,27.80%,378.63亿
2017,,,,,101.94,3.00%,42.80亿,7.03%,4.58,85.04亿,42.51%,334.39亿
2016,,,,,98.97,25.66%,39.99亿,19.14%,4.00,68.09亿,40.87%,218.61亿
2015,,,,,78.76,42.34%,33.56亿,36.27%,3.46,56.34亿,42.61%,178.24亿
2014,,,,,55.33,30.05%,24.63亿,29.51%,2.89,41.73亿,44.52%,114.06亿
2013,,,,,42.55,28.78%,19.02亿,30.24%,2.42,32.38亿,44.70%,95.36亿
2012,,,,,33.04,49.91%,14.60亿,52.47%,False,21.16亿,44.20%,76.71亿
2011,,,,,22.04,49.90%,9.58亿,52.24%,False,13.47亿,43.46%,62.82亿
2010,,,,,14.7,30.16%,6.29亿,176.33%,False,6.56亿,42.79%,27.73亿
