报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,399.639,57.9187,6.9,5.5567,17.98,16.46%,8.22亿,6.49%,4.47,88.44亿,46.16%,263.34亿
2025,354.462,57.9187,6.12,5.8023,61.09,15.75%,32.41亿,10.12%,4.33,80.22亿,53.22%,255.23亿
2024,283.247,57.9238,4.89,5.3666,52.78,10.26%,29.43亿,10.63%,4.17,77.56亿,55.77%,245.81亿
2023,180.41,42.4493,4.25,3.7687,47.87,10.14%,26.60亿,10.30%,4.20,67.21亿,55.57%,178.49亿
2022,96.779,29.87,3.24,2.2269,43.46,10.29%,24.12亿,16.36%,5.35,55.74亿,55.49%,159.70亿
2021,83.925,29.8665,2.81,2.1295,39.41,5.00%,20.72亿,10.40%,4.87,45.95亿,52.59%,145.52亿
2020,86.016,29.8665,2.88,2.2919,37.53,22.43%,18.77亿,18.56%,4.36,38.68亿,50.02%,130.10亿
2019,94.378,29.8665,3.16,3.0782,30.66,25.82%,15.83亿,26.56%,4.02,30.91亿,51.65%,119.97亿
2018,85.717,29.8665,2.87,3.5173,24.37,25.42%,12.51亿,23.79%,3.69,24.24亿,51.34%,110.18亿
2017,,,,,19.43,7.34%,10.11亿,22.64%,2.66,17.88亿,52.02%,62.47亿
2016,,,,,18.1,36.32%,8.24亿,12.51%,2.30,11.83亿,45.64%,53.90亿
2015,,,,,13.25,25.46%,7.32亿,20.87%,1.99,6.83亿,55.30%,46.60亿
2014,,,,,10.56,11.50%,6.06亿,20.61%,1.72,2.16亿,57.40%,40.28亿
2013,,,,,9.47,33.70%,5.02亿,30.81%,1.60,5.36亿,53.06%,35.06亿
2012,,,,,7.08,33.18%,3.84亿,33.32%,False,5.28亿,54.23%,30.58亿
2011,,,,,5.32,73.06%,2.88亿,69.29%,False,3.94亿,54.17%,27.74亿
2010,,,,,3.07,52.77%,1.70亿,54.38%,False,1.73亿,55.38%,13.48亿
