报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,43.604,4.06,10.74,9.1605,1.19,-27.47%,572.63万,-72.56%,7.31,25.03亿,8.45亿,4.82%,29.66亿
2025,42.589,4.06,10.49,7.7014,5.53,-17.48%,1214.58万,-83.94%,7.33,23.45亿,8.39亿,2.20%,29.76亿
2024,44.295,4.06,10.91,6.6112,6.7,12.26%,7563.43万,-43.64%,7.49,24.13亿,8.84亿,11.28%,30.42亿
2023,39.063,2.9,13.47,6.5432,5.97,3.56%,1.34亿,-30.75%,10.37,24.91亿,8.57亿,22.47%,30.07亿
2022,35.5,2.0,17.75,6.1525,5.77,-6.85%,1.94亿,-19.47%,14.55,24.88亿,7.72亿,33.27%,29.12亿
2021,,,,,6.19,26.84%,2.41亿,15.59%,5.76,5.21亿,6.29亿,38.87%,8.64亿
2020,,,,,4.88,11.93%,2.08亿,8.38%,4.16,3.35亿,3.88亿,42.66%,6.23亿
2019,,,,,4.36,16.34%,1.92亿,20.72%,3.77,2.95亿,3.34亿,44.05%,5.65亿
2018,,,,,3.75,10.95%,1.59亿,26.65%,2.49,1.50亿,1.42亿,42.45%,3.73亿
2017,,,,,3.38,False,1.26亿,False,2.39,1.27亿,1.33亿,37.11%,3.59亿
