报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,56.182,1.6418,34.22,8.8896,1.58,12.39%,1159.74万,11.71%,3.35,2.48亿,8903.76万,10.30%,6.56亿
2025,57.102,1.6418,34.78,9.1072,6.27,-3.66%,-9084.84万,-86.49%,3.28,2.27亿,7735.59万,-10.90%,6.41亿
2024,43.57,1.0997,39.62,6.6928,6.51,64.68%,-4871.50万,-217.15%,5.76,2.04亿,1.68亿,-2.77%,7.31亿
2023,33.178,1.0997,30.17,6.1899,5.36,10.49%,4158.29万,26.21%,6.26,2.17亿,2.34亿,12.32%,7.88亿
2022,12.792,1.099,11.64,2.6375,4.85,-22.21%,3294.71万,-43.86%,6.09,2.88亿,2.06亿,11.28%,7.52亿
2021,17.298,1.099,15.74,2.7721,6.24,95.10%,5868.57万,268.07%,6.14,3.29亿,1.92亿,13.87%,7.47亿
2020,12.985,0.8454,15.36,4.0578,3.2,-18.53%,1594.42万,-69.71%,7.36,3.63亿,1.39亿,8.45%,6.68亿
2019,13.865,0.8454,16.4,3.528,3.93,-7.27%,5263.35万,-19.85%,7.36,4.39亿,1.44亿,13.41%,6.23亿
2018,,,,,4.23,26.85%,6567.00万,39.83%,4.85,1.54亿,1.41亿,15.51%,3.08亿
2017,,,,,3.34,11.77%,4696.57万,35.64%,3.81,1.33亿,7790.58万,14.00%,2.42亿
2016,,,,,2.99,63.53%,3462.47万,4.65%,3.28,1.27亿,4730.94万,11.25%,2.08亿
2015,,,,,1.83,-15.51%,3308.48万,13.77%,2.80,7325.75万,4314.07万,18.82%,1.06亿
2014,,,,,2.16,52.48%,2907.99万,233.44%,3.46,3714.70万,4153.62万,14.57%,7312.55万
2013,,,,,1.42,False,872.12万,False,3.06,2006.48万,1856.65万,7.42%,3664.50万
