报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,25.408,1.6132,15.75,9.0743,2.1,-34.40%,-1515.40万,-1341.59%,7.48,9.84亿,4.23亿,-7.21%,12.07亿
2024,19.415,1.6288,11.92,4.453,4.36,-35.92%,3098.48万,-62.67%,8.01,10.33亿,5.19亿,7.10%,13.03亿
2023,20.169,1.6438,12.27,2.9617,6.81,-22.28%,8299.97万,-44.54%,8.27,10.85亿,5.69亿,12.19%,13.59亿
2022,16.607,1.6459,10.09,1.8958,8.76,-14.61%,1.50亿,-12.72%,8.31,11.17亿,5.95亿,17.06%,13.67亿
2021,11.96,1.0293,11.62,1.1657,10.26,6.87%,1.71亿,23.89%,12.32,11.52亿,5.22亿,16.71%,12.68亿
2020,12.67,1.0,12.67,1.3198,9.6,3.90%,1.38亿,-2.97%,11.44,12.27亿,4.02亿,14.41%,11.44亿
2019,19.02,1.0,19.02,2.0584,9.24,9.81%,1.43亿,19.33%,10.40,10.90亿,2.98亿,15.43%,10.40亿
2018,,,,,8.42,20.77%,1.20亿,52.14%,5.56,2.98亿,2.01亿,14.20%,4.17亿
2017,,,,,6.97,9.35%,7857.00万,11.20%,4.36,3.83亿,1.23亿,11.27%,3.27亿
2016,,,,,6.37,1.82%,7065.64万,-12.40%,3.62,2.89亿,7476.42万,11.09%,2.71亿
2015,,,,,6.26,-2.68%,8066.11万,37.88%,4.94,2.38亿,1.70亿,12.89%,3.71亿
2014,,,,,6.43,3.60%,5850.21万,-28.98%,3.86,1.71亿,9696.49万,9.10%,2.90亿
2013,,,,,6.21,33.41%,8237.81万,65.94%,3.68,1.76亿,8923.54万,13.27%,2.76亿
2012,,,,,4.65,28.26%,4964.25万,36.59%,2.99,1.34亿,4505.02万,10.67%,2.24亿
2011,,,,,3.63,False,3634.54万,False,2.32,1.04亿,45.82万,10.02%,1.74亿
