报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,25.477,1.144,22.27,11.2399,1.7,-9.99%,870.44万,-47.66%,8.38,5.25亿,2.53亿,5.02%,9.63亿
2024,16.526,0.88,18.78,5.3656,3.08,-21.24%,2905.88万,-62.77%,11.28,5.99亿,2.69亿,9.37%,9.96亿
2023,23.998,0.88,27.27,6.1376,3.91,-3.35%,7805.33万,-1.88%,11.38,5.01亿,2.81亿,20.14%,10.06亿
2022,,,,,4.04,4.45%,7954.66万,8.85%,6.97,2.71亿,2.46亿,19.84%,4.63亿
2021,,,,,3.87,10.25%,7307.70万,8.01%,6.26,2.61亿,2.00亿,19.16%,4.16亿
2020,,,,,3.51,13.47%,6765.56万,32.50%,5.71,2.79亿,1.63亿,19.45%,3.80亿
2019,,,,,3.09,5.24%,5106.03万,-31.32%,4.88,2.25亿,1.15亿,16.64%,3.25亿
2018,,,,,2.94,33.05%,7434.72万,39.91%,4.66,2.42亿,1.06亿,25.45%,3.09亿
2017,,,,,2.21,27.40%,5313.80万,112.03%,3.89,2.09亿,6287.35万,24.31%,2.58亿
2016,,,,,1.73,27.94%,2506.11万,0.32%,3.22,1.60亿,2360.97万,14.69%,2.13亿
2015,,,,,1.36,12.21%,2498.02万,228.26%,2.96,1.42亿,893.14万,18.28%,1.96亿
2014,,,,,1.21,False,760.98万,False,3.08,1.20亿,1952.19万,6.30%,2.03亿
