报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,35.127,1.2038,29.18,6.7552,3.9,-5.88%,1767.54万,68.77%,6.51,2.98亿,2.39亿,4.43%,7.89亿
2024,27.278,1.2038,22.66,4.6549,5.86,-21.74%,-1199.55万,-120.91%,6.13,2.67亿,2.21亿,-1.79%,7.43亿
2023,29.096,1.2038,24.17,3.8846,7.49,71.37%,5737.41万,150.78%,6.49,3.20亿,2.69亿,7.81%,7.85亿
2022,23.281,1.2038,19.34,5.3275,4.37,14.51%,2287.80万,33.68%,5.94,3.60亿,2.12亿,5.25%,7.18亿
2021,21.03,1.2038,17.47,5.5052,3.82,22.45%,1711.36万,-15.78%,4.31,1.51亿,2.02亿,4.48%,4.56亿
2020,14.619,1.054,13.87,4.6856,3.12,-20.04%,2032.12万,-75.82%,4.39,1.71亿,2.18亿,6.54%,4.63亿
2019,16.963,1.0635,15.95,4.3495,3.9,14.02%,8404.90万,0.53%,4.65,2.02亿,2.24亿,21.57%,4.95亿
2018,17.865,1.054,16.95,5.2237,3.42,36.76%,8360.65万,34.31%,3.87,9948.06万,1.46亿,24.47%,4.08亿
2017,,,26.86,,2.5,36.51%,6224.79万,52.47%,9.10,4960.88万,1.31亿,24.91%,3.84亿
2016,,,,,1.83,23.30%,4082.61万,23.36%,4.13,4383.30万,7383.24万,22.30%,1.31亿
2015,,,,,1.48,16.77%,3309.48万,29.75%,2.83,6267.57万,3500.21万,22.29%,8940.60万
2014,,,,,1.27,13.52%,2550.62万,-10.30%,9.59,3639.46万,3565.81万,20.06%,5330.30万
2013,,,,,1.12,False,2843.60万,False,18.97,2857.71万,5056.19万,25.39%,5691.70万
