报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,2446.284,489.2568,5.0,105.59,3.29%,31.43亿,6.03%,4.3,23.1678,77.8816,1.1628,PE；PB,142.06亿,298.57亿,30.21%,2333.34亿,,,中国铁路投资集团有限公司
2026-03-31,2446.284,489.2568,5.0,105.59,3.29%,31.43亿,6.03%,4.3,5.7919,77.8816,1.1628,PE；PB,142.06亿,298.57亿,30.21%,2333.34亿,,,中国铁路投资集团有限公司
2025,2528.984,491.0648,5.15,430.62,2.15%,131.72亿,3.16%,4.23,5.8729,19.145,1.2175,PE；PB,155.79亿,267.14亿,30.66%,2299.91亿,0.1567,,中国铁路投资集团有限公司
2024,2941.478,491.0648,5.99,421.57,3.62%,127.68亿,10.59%,4.12,6.9774,23.0385,1.4539,PE；PB,101.91亿,225.20亿,30.06%,2252.48亿,0.1116,,中国铁路投资集团有限公司
2023,2298.183,491.0648,4.68,406.83,110.40%,115.46亿,2103.63%,3.97,5.649,19.9064,1.1788,PE；PB,129.03亿,165.27亿,27.55%,2179.12亿,0.0114,,中国铁路投资集团有限公司
2022,2293.273,491.0648,4.67,193.36,-34.02%,-5.76亿,-111.97%,3.75,11.8601,,1.2453,PE；PB,53.39亿,67.59亿,-8.03%,2072.79亿,0.0491,,中国铁路投资集团有限公司
2021,2229.434,491.0648,4.54,293.05,16.11%,48.16亿,49.15%,3.77,7.6077,46.2793,1.2042,PE；PB,89.18亿,98.71亿,14.38%,2111.04亿,0.0329,,中国铁路投资集团有限公司
2020,2592.822,491.0648,5.28,252.38,-27.59%,32.29亿,-70.83%,3.74,10.2735,79.3985,1.4118,PE；PB,79.50亿,72.64亿,9.91%,2084.83亿,0.0528,,中国铁路投资集团有限公司
2019,,,,348.56,5.72%,110.68亿,8.00%,3.71,,,,PE；PB,100.66亿,70.87亿,36.24%,2296.87亿,,,中国铁路投资集团有限公司
2018,,,,311.58,5.42%,102.48亿,13.19%,3.7,,,,PE；PB,98.42亿,145.19亿,32.89%,1481.73亿,,,中国铁路投资集团有限公司
2017,,,,295.55,12.56%,90.53亿,14.55%,1.11,,,,PE；PB,92.23亿,117.53亿,30.63%,1443.83亿,,,中国铁路投资集团有限公司
2016,,,,262.58,False,79.03亿,False,1.07,,,,PE；PB,42.61亿,78.39亿,30.10%,1395.63亿,,,中国铁路投资集团有限公司
