报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,104.103,5.7835,18.0,0.425424,419.51%,-4436.72万,22.84%,2.59,244.7041,,6.9498,PE；PS,13.78亿,-29.06亿,-104.29%,14.96亿,,,InventisBio HongKong Limited
2026-03-31,104.103,5.7835,18.0,0.425424,419.51%,-4436.72万,22.84%,2.59,61.176,,6.9498,PE；PS,13.78亿,-29.06亿,-104.29%,14.96亿,,,InventisBio HongKong Limited
2025,157.107,5.7675,27.24,0.372897,-77.91%,-3.17亿,-31.92%,2.66,421.3147,,10.2406,PE；PS,15.35亿,-28.62亿,-849.74%,15.36亿,,,InventisBio HongKong Limited
2024,76.475,5.75,13.3,1.69,-9.02%,-2.40亿,15.41%,3.14,45.2515,,4.2357,PE；PS,16.87亿,-25.45亿,-142.31%,18.11亿,,,InventisBio HongKong Limited
2023,87.055,5.75,15.14,1.86,False,-2.84亿,41.26%,3.47,46.8038,,4.3631,PE；PS,19.19亿,-23.05亿,-153.06%,19.98亿,,,InventisBio HongKong Limited
2022,76.36,5.75,13.28,0.0,False,-4.83亿,-35.09%,3.85,,,3.4494,PE；PS,22.35亿,-20.21亿,False,22.15亿,,,InventisBio HongKong Limited
2021,,,,0.0,False,-3.58亿,66.02%,1.49,,,,PE；PS,7.24亿,-15.37亿,False,6.85亿,,,InventisBio HongKong Limited
2020,,,,0.0,-100.00%,-10.53亿,-1009.06%,2.2,,,,PE；PS,10.32亿,-11.79亿,False,10.10亿,,,InventisBio HongKong Limited
2019,,,,0.553,False,-9498.59万,7.88%,-0.02,,,,PE；PS,3677.67万,-3.72亿,-171.76%,-193.68万,,,InventisBio HongKong Limited
2018,,,,0.0,False,-1.03亿,False,-0.76,,,,PE；PS,235.88万,-2.77亿,False,-4421.53万,,,InventisBio HongKong Limited
