报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,84.46,4.1,20.6,10.1514,2.08,21.79%,4710.38万,57.12%,5.56,10.86亿,5.58亿,22.64%,22.79亿,8684.02万
2025,62.976,4.1,15.36,7.9415,7.93,15.51%,1.43亿,29.88%,5.43,12.44亿,5.11亿,17.98%,22.27亿,7296.11万
2024,52.193,4.1,12.73,7.5972,6.87,10.39%,1.10亿,-30.89%,5.21,11.69亿,4.35亿,15.99%,21.35亿,5419.67万
2023,80.565,4.1,19.65,12.9526,6.22,20.45%,1.59亿,-3.49%,5.18,11.98亿,4.12亿,25.54%,21.25亿,4709.18万
2022,95.94,4.1,23.4,18.5571,5.17,31.17%,1.65亿,31.81%,4.82,12.13亿,2.81亿,31.87%,19.78亿,4947.06万
2021,,,,,3.94,50.35%,1.25亿,63.45%,2.18,4.99亿,1.30亿,31.72%,7.86亿,3008.36万
2020,,,,,2.62,35.91%,7643.35万,119.99%,1.83,5.24亿,1920.35万,29.18%,6.57亿,1732.24万
2019,,,,,1.93,261.64%,3474.42万,676.89%,20.73,2.49亿,2412.48万,18.02%,2.40亿,1243.45万
2018,,,,,0.532906,False,-602.27万,False,2.77,5327.00万,-602.27万,-11.33%,2807.45万,1391.46万
