报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2025-09-30,2519.673,489.2568,5.15,5.7606,328.05,1.39%,103.02亿,2.87%,4.18,138.00亿,251.56亿,31.60%,2273.63亿
2024,2941.478,491.0648,5.99,6.9774,421.57,3.62%,127.68亿,10.59%,4.12,101.91亿,225.20亿,30.06%,2252.48亿
2023,2298.183,491.0648,4.68,5.649,406.83,110.40%,115.46亿,2103.63%,3.97,129.03亿,165.27亿,27.55%,2179.12亿
2022,2293.273,491.0648,4.67,11.8601,193.36,-34.02%,-5.76亿,-111.97%,3.75,53.39亿,67.59亿,-8.03%,2072.79亿
2021,2229.434,491.0648,4.54,7.6077,293.05,16.11%,48.16亿,49.15%,3.77,89.18亿,98.71亿,14.38%,2111.04亿
2020,2592.822,491.0648,5.28,10.2735,252.38,-27.59%,32.29亿,-70.83%,3.74,79.50亿,72.64亿,9.91%,2084.83亿
2019,,,,,348.56,5.72%,110.68亿,8.00%,3.71,100.66亿,70.87亿,36.24%,2296.87亿
2018,,,,,311.58,5.42%,102.48亿,13.19%,3.70,98.42亿,145.19亿,32.89%,1481.73亿
2017,,,,,295.55,12.56%,90.53亿,14.55%,1.11,92.23亿,117.53亿,30.63%,1443.83亿
2016,,,,,262.58,False,79.03亿,False,1.07,42.61亿,78.39亿,30.10%,1395.63亿
