股票代码,股票简称,原始行业,映射行业,输出路径
000519,中兵红箭,地面兵装Ⅱ,航天航空,/home/peanut/stock_key_info/all_stocks_20260606/航天航空/中兵红箭.csv
000520,凤凰航运,航运港口,航运港口,/home/peanut/stock_key_info/all_stocks_20260606/航运物流/航运港口/凤凰航运.csv
000521,长虹美菱,白色家电,家电行业,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/家电行业/长虹美菱.csv
000523,红棉股份,综合Ⅱ,综合行业,/home/peanut/stock_key_info/all_stocks_20260606/综合行业/红棉股份.csv
000524,岭南控股,旅游及景区,旅游酒店,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/旅游酒店/岭南控股.csv
000525,红太阳,农化制品,农药兽药,/home/peanut/stock_key_info/all_stocks_20260606/化工行业/农药兽药/红太阳.csv
000526,学大教育,教育,教育,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/教育/学大教育.csv
000528,柳工,工程机械,工程机械,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/工程机械/柳工.csv
000529,广弘控股,食品加工,食品饮料,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/食品饮料/广弘控股.csv
000530,冰山冷热,通用设备,通用设备,/home/peanut/stock_key_info/all_stocks_20260606/TMT/通用设备/冰山冷热.csv
000531,穗恒运Ａ,电力,电力行业,/home/peanut/stock_key_info/all_stocks_20260606/电力行业/穗恒运Ａ.csv
000532,华金资本,多元金融,多元金融,/home/peanut/stock_key_info/all_stocks_20260606/金融/多元金融/华金资本.csv
000533,顺钠股份,电网设备,电网设备,/home/peanut/stock_key_info/all_stocks_20260606/能源/电网设备/顺钠股份.csv
000534,万泽股份,生物制品,生物制品,/home/peanut/stock_key_info/all_stocks_20260606/医药/生物制品/万泽股份.csv
000536,华映科技,光学光电子,光学光电子,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/光学光电子/华映科技.csv
000537,绿发电力,电力,电力行业,/home/peanut/stock_key_info/all_stocks_20260606/电力行业/绿发电力.csv
000538,云南白药,中药Ⅱ,中药,/home/peanut/stock_key_info/all_stocks_20260606/医药/中药/云南白药.csv
000539,粤电力Ａ,电力,电力行业,/home/peanut/stock_key_info/all_stocks_20260606/电力行业/粤电力Ａ.csv
000541,佛山照明,照明设备Ⅱ,光学光电子,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/光学光电子/佛山照明.csv
000543,皖能电力,电力,电力行业,/home/peanut/stock_key_info/all_stocks_20260606/电力行业/皖能电力.csv
000544,中原环保,环境治理,环保行业,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/环保行业/中原环保.csv
000545,金浦钛业,化学原料,化学原料,/home/peanut/stock_key_info/all_stocks_20260606/化工行业/化学原料/金浦钛业.csv
000546,金圆股份,环境治理,环保行业,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/环保行业/金圆股份.csv
000547,航天发展,军工电子Ⅱ,航天航空,/home/peanut/stock_key_info/all_stocks_20260606/航天航空/航天发展.csv
000548,湖南投资,铁路公路,铁路公路,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/铁路公路/湖南投资.csv
000550,江铃汽车,商用车,汽车整车,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/汽车整车/江铃汽车.csv
000551,创元科技,环保设备Ⅱ,环保行业,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/环保行业/创元科技.csv
000552,甘肃能化,煤炭开采,煤炭行业,/home/peanut/stock_key_info/all_stocks_20260606/能源/煤炭行业/甘肃能化.csv
000553,安道麦A,农化制品,农药兽药,/home/peanut/stock_key_info/all_stocks_20260606/化工行业/农药兽药/安道麦A.csv
000554,泰山石油,炼化及贸易,石油行业,/home/peanut/stock_key_info/all_stocks_20260606/能源/石油行业/泰山石油.csv
000555,神州信息,IT服务Ⅱ,软件开发,/home/peanut/stock_key_info/all_stocks_20260606/TMT/软件开发/神州信息.csv
000557,西部创业,铁路公路,铁路公路,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/铁路公路/西部创业.csv
000558,天府文旅,旅游及景区,旅游酒店,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/旅游酒店/天府文旅.csv
000559,万向钱潮,汽车零部件,汽车零部件,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/汽车零部件/万向钱潮.csv
000560,我爱我家,房地产服务,房地产服务,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/房地产服务/我爱我家.csv
000561,烽火电子,航空装备Ⅱ,航天航空,/home/peanut/stock_key_info/all_stocks_20260606/航天航空/烽火电子.csv
000563,陕国投Ａ,多元金融,多元金融,/home/peanut/stock_key_info/all_stocks_20260606/金融/多元金融/陕国投Ａ.csv
000564,供销大集,一般零售,商业百货,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/商业百货/供销大集.csv
000565,渝三峡Ａ,化学制品,化学制品,/home/peanut/stock_key_info/all_stocks_20260606/化工行业/化学制品/渝三峡Ａ.csv
000568,泸州老窖,白酒Ⅱ,酿酒行业,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/酿酒行业/泸州老窖.csv
000567,海德股份,多元金融,多元金融,/home/peanut/stock_key_info/all_stocks_20260606/金融/多元金融/海德股份.csv
000566,海南海药,化学制药,化学制药,/home/peanut/stock_key_info/all_stocks_20260606/医药/化学制药/海南海药.csv
000570,苏常柴Ａ,汽车零部件,汽车零部件,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/汽车零部件/苏常柴Ａ.csv
000571,新大洲A,煤炭开采,煤炭行业,/home/peanut/stock_key_info/all_stocks_20260606/能源/煤炭行业/新大洲A.csv
000572,海马汽车,乘用车,汽车整车,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/汽车整车/海马汽车.csv
000573,粤宏远Ａ,房地产开发,房地产开发,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/房地产开发/粤宏远Ａ.csv
000576,甘化科工,地面兵装Ⅱ,航天航空,/home/peanut/stock_key_info/all_stocks_20260606/航天航空/甘化科工.csv
000581,威孚高科,汽车零部件,汽车零部件,/home/peanut/stock_key_info/all_stocks_20260606/工业制造/汽车零部件/威孚高科.csv
000582,北部湾港,航运港口,航运港口,/home/peanut/stock_key_info/all_stocks_20260606/航运物流/航运港口/北部湾港.csv
000586,汇源通信,通信设备,通信设备,/home/peanut/stock_key_info/all_stocks_20260606/TMT/通信设备/汇源通信.csv
