报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,138.789,22.1354,6.27,5.0876,6.82,27.08%,3105.10万,178.34%,9.04,411.34亿,12.07亿,-3.18%,210.54亿
2025,146.536,22.1354,6.62,4.6549,31.48,-6.08%,1.82亿,194.72%,9.03,367.63亿,11.76亿,0.90%,210.78亿
2024,164.608,22.2443,7.4,4.9107,33.52,11.58%,6175.85万,-86.64%,8.90,360.21亿,10.86亿,1.68%,211.06亿
2023,188.602,22.6142,8.34,6.2784,30.04,18.63%,4.62亿,21.86%,8.74,309.15亿,11.17亿,15.51%,198.41亿
2022,146.992,22.6142,6.5,5.8054,25.32,-32.76%,3.79亿,-60.82%,8.63,333.79亿,7.70亿,15.21%,196.04亿
2021,173.26,17.3956,9.96,4.6006,37.66,15.87%,9.68亿,47.09%,9.32,307.14亿,5.01亿,25.88%,162.82亿
2020,229.448,17.3956,13.19,7.0599,32.5,26.64%,6.58亿,152.80%,8.72,268.52亿,-2.69亿,217.05%,152.45亿
2019,244.06,17.3956,14.03,9.857,24.76,33.27%,2.60亿,74.24%,8.60,207.78亿,-7.77亿,112.62%,150.19亿
2018,130.989,17.3956,7.53,7.05,18.58,-11.59%,1.49亿,14.16%,8.55,183.63亿,-9.01亿,107.99%,152.03亿
2017,,,10.2,,21.01,88.43%,1.31亿,192.12%,8.57,153.44亿,-5.32亿,39.41%,152.34亿
2016,,,14.92,,11.15,219.98%,-1.42亿,-162.96%,8.52,174.29亿,-6.50亿,-34.00%,151.68亿
2015,,,14.93,,3.49,-14.89%,2.26亿,253.23%,0.74,2.45亿,-5.08亿,62.29%,3.66亿
2014,,,11.88,,4.09,471.08%,-1.47亿,-121.24%,0.27,2.10亿,-7.34亿,-37.07%,1.49亿
2013,,,3.66,,0.717,-81.07%,6.94亿,601.48%,0.19,1.39亿,-5.86亿,967.23%,1.05亿
2012,,,3.23,,3.79,-64.67%,-1.38亿,-106.39%,-1.49,3710.48万,-12.80亿,-36.58%,-6.13亿
2011,,,3.78,,10.72,5.89%,21.65亿,36776.21%,-1.15,9088.15万,-11.42亿,201.96%,-4.75亿
2010,,,4.22,,10.12,34.31%,587.19万,102.00%,-6.39,7909.87万,-33.07亿,0.58%,-26.37亿
