报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,450.519,45.738,9.85,4.7745,23.59,40.82%,7.51亿,35.20%,8.24,1169.52亿,102.76亿,34.91%,484.04亿
2025,491.226,45.738,10.74,5.5562,88.41,35.95%,24.12亿,24.87%,8.04,1118.48亿,95.47亿,32.15%,473.29亿
2024,549.313,45.738,12.01,8.4471,65.03,-10.33%,19.32亿,10.17%,7.69,778.87亿,85.07亿,12.69%,365.24亿
2023,391.697,38.7819,10.1,2.2208,176.38,4.90%,17.54亿,6.01%,6.79,813.62亿,78.66亿,10.34%,282.71亿
2022,368.814,38.7817,9.51,2.1935,168.14,2.41%,16.54亿,-24.66%,6.56,869.79亿,71.40亿,10.12%,273.09亿
2021,481.281,38.7817,12.41,2.9314,164.18,54.36%,21.96亿,34.94%,6.15,800.75亿,66.86亿,13.37%,238.37亿
2020,515.001,36.1404,14.25,4.8416,106.37,87.94%,16.27亿,68.17%,5.35,525.64亿,55.85亿,15.30%,193.49亿
2019,342.335,33.3335,10.27,6.0494,56.59,53.17%,9.68亿,31.29%,4.32,415.68亿,46.75亿,17.10%,148.56亿
2018,221.666,33.3333,6.65,5.9991,36.95,-19.87%,7.37亿,-30.71%,4.10,304.12亿,42.60亿,19.95%,136.64亿
2017,,,15.0,,46.11,0.34%,10.64亿,-14.29%,4.05,251.73亿,40.40亿,23.07%,135.14亿
2016,,,,,45.95,-25.76%,12.41亿,-32.36%,3.19,267.34亿,32.37亿,27.01%,95.65亿
2015,,,,,61.89,91.79%,18.34亿,144.52%,2.82,287.81亿,24.71亿,29.64%,84.49亿
2014,,,,,32.27,68.53%,7.50亿,86.06%,2.19,143.18亿,11.48亿,23.25%,65.56亿
2013,,,,,19.15,54.40%,4.03亿,138.13%,1.92,76.53亿,6.19亿,21.06%,57.54亿
2012,,,,,12.4,-5.76%,1.69亿,-43.69%,1.78,90.64亿,3.04亿,13.65%,53.47亿
2011,,,,,13.16,-22.53%,3.01亿,-51.38%,1.78,98.11亿,11.21亿,22.85%,51.76亿
2010,,,,,16.99,-1.30%,6.19亿,0.27%,False,110.80亿,9.93亿,36.42%,38.12亿
