报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,249.699,63.8617,3.91,6.3894,9.77,30.18%,2.57亿,28.28%,3.58,458.79亿,21.05亿,27.96%,237.34亿
2025,270.774,63.8617,4.24,7.8372,34.55,7.22%,7.69亿,79.57%,3.53,414.47亿,18.55亿,24.60%,234.37亿
2024,270.135,63.8617,4.23,8.3841,32.22,0.69%,4.28亿,31.02%,3.46,354.58亿,15.90亿,12.12%,229.28亿
2023,220.323,63.8617,3.45,5.2608,41.88,15.81%,3.27亿,31.18%,3.44,391.64亿,16.04亿,10.03%,227.19亿
2022,174.769,54.4453,3.21,4.8319,36.17,-30.05%,2.49亿,-67.40%,3.42,476.45亿,15.88亿,10.42%,193.36亿
2021,213.97,54.4453,3.93,4.1387,51.7,15.36%,7.65亿,5.41%,3.41,403.53亿,16.06亿,17.54%,192.19亿
2020,296.182,54.4453,5.44,6.6083,44.82,25.89%,7.25亿,48.73%,3.39,350.38亿,16.55亿,18.06%,190.35亿
2019,189.278,42.1554,4.49,5.3168,35.6,67.73%,4.88亿,566.80%,3.32,228.88亿,13.43亿,15.28%,145.11亿
2018,153.867,42.1554,3.65,7.2476,21.23,-20.17%,7314.28万,-80.53%,3.22,181.47亿,10.95亿,5.27%,140.42亿
2017,,,4.04,,26.59,-30.73%,3.76亿,-63.00%,3.26,239.59亿,12.99亿,16.21%,142.16亿
2016,,,5.64,,38.38,-22.62%,10.16亿,-43.36%,3.26,212.77亿,14.48亿,27.77%,142.14亿
2015,,,6.87,,49.59,94.86%,17.93亿,159.83%,4.72,273.44亿,16.79亿,37.12%,138.19亿
2014,,,9.22,,25.45,39.93%,6.90亿,123.50%,2.92,129.41亿,7.59亿,28.11%,71.62亿
2013,,,6.03,,18.19,24.60%,3.09亿,131.52%,2.68,71.63亿,4.08亿,18.85%,64.76亿
2012,,,5.7,,14.6,14.89%,1.33亿,76.57%,1.53,82.37亿,2.41亿,11.24%,30.08亿
2011,,,2.11,,12.71,-32.95%,7552.87万,-83.46%,3.74,88.23亿,11.79亿,9.00%,29.32亿
2010,,,,,18.95,-17.31%,4.57亿,7300.38%,0.99,90.56亿,11.60亿,-14.16%,27.91亿
