报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,4034.154,148.2055,27.22,4.3556,231.55,40.91%,102.16亿,54.60%,19.67,1.28万亿,1228.32亿,45.17%,3402.56亿
2025,4210.518,148.2055,28.41,5.625,748.54,28.80%,300.76亿,38.58%,19.01,1.24万亿,1130.02亿,41.42%,3258.22亿
2024,4241.641,148.2055,28.62,7.2982,581.19,6.20%,217.04亿,10.06%,17.70,1.06万亿,995.30亿,35.41%,2987.67亿
2023,2864.812,148.2055,19.33,4.7693,600.68,-7.74%,197.21亿,-7.49%,17.01,9278.39亿,934.50亿,34.19%,2741.99亿
2022,2741.802,148.2055,18.5,4.2111,651.09,-14.92%,213.17亿,-7.72%,16.15,514.03万,4950.68万,34.05%,1.21亿
2021,2911.111,129.2678,22.52,3.8042,765.24,40.71%,231.00亿,55.01%,15.35,8248.85亿,776.61亿,31.37%,2138.08亿
2020,3187.744,129.2678,24.66,5.8617,543.83,26.06%,149.02亿,21.86%,14.06,6536.74亿,647.67亿,28.53%,1858.83亿
2019,2531.222,121.1691,20.89,5.8675,431.4,15.90%,122.29亿,30.23%,13.34,5055.00亿,601.04亿,29.32%,1654.50亿
2018,1577.622,121.1691,13.02,4.2385,372.21,-14.02%,93.90亿,-17.87%,12.64,3671.62亿,551.98亿,26.53%,1568.31亿
2017,,,14.36,,432.92,13.92%,114.33亿,10.30%,12.36,2769.70亿,520.07亿,27.67%,1531.43亿
2016,,,12.48,,380.02,-32.16%,103.65亿,-47.65%,11.78,2924.76亿,471.92亿,28.90%,1457.89亿
2015,,,14.6,,560.13,91.84%,198.00亿,74.64%,11.48,3161.11亿,447.87亿,36.35%,1417.37亿
2014,,,25.26,,291.98,81.18%,113.37亿,116.20%,9.00,2359.46亿,327.10亿,40.63%,1011.31亿
2013,,,9.39,,161.15,37.81%,52.44亿,23.75%,7.96,1255.78亿,256.32亿,32.94%,894.02亿
2012,,,9.58,,116.94,-53.29%,42.37亿,-66.31%,7.85,909.80亿,252.20亿,36.83%,866.84亿
2011,,,6.72,,250.33,-9.94%,125.76亿,11.18%,7.86,798.29亿,268.46亿,50.35%,869.90亿
2010,,,8.37,,277.95,26.30%,113.11亿,25.91%,7.08,789.75亿,206.62亿,43.66%,708.48亿
