报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,281.753,66.4511,4.24,8.905,7.91,28.91%,3.10亿,26.39%,4.00,557.65亿,37.37亿,39.22%,266.01亿
2025,297.701,66.4511,4.48,9.2829,32.07,25.35%,10.62亿,51.90%,3.95,580.86亿,34.20亿,33.12%,262.49亿
2024,305.011,66.4511,4.59,11.9191,25.59,10.17%,6.99亿,16.13%,3.88,445.53亿,31.39亿,27.26%,258.11亿
2023,263.146,66.4511,3.96,11.2987,23.29,30.33%,6.02亿,94.63%,3.82,476.72亿,30.59亿,25.70%,254.02亿
2022,239.888,66.4511,3.61,13.4241,17.87,-42.29%,3.09亿,-70.20%,3.75,459.63亿,28.52亿,17.11%,249.36亿
2021,331.591,66.4511,4.99,10.7103,30.96,-2.32%,10.38亿,-4.89%,3.82,457.45亿,32.93亿,33.12%,252.83亿
2020,329.597,66.4511,4.96,10.3974,31.7,-9.15%,10.91亿,4.75%,3.78,440.64亿,31.88亿,33.37%,250.79亿
2019,265.32,56.4511,4.7,7.6045,34.89,27.14%,10.42亿,359.35%,3.47,310.92亿,27.71亿,27.65%,195.58亿
2018,176.692,56.4511,3.13,6.4392,27.44,-10.34%,2.27亿,-66.08%,3.29,376.25亿,25.18亿,7.84%,189.77亿
2017,,,4.11,,30.61,-15.72%,6.69亿,-27.11%,3.43,357.65亿,26.13亿,22.57%,200.49亿
2016,,,6.22,,36.32,-57.26%,9.18亿,-74.19%,3.37,396.62亿,27.60亿,25.13%,196.68亿
2015,,,8.49,,84.97,131.22%,35.55亿,165.46%,3.37,385.82亿,28.73亿,41.72%,195.90亿
2014,,,9.42,,36.75,87.10%,13.39亿,112.44%,5.93,263.45亿,11.30亿,36.65%,172.20亿
2013,,,4.14,,19.64,54.90%,6.30亿,84.09%,4.66,181.29亿,5.51亿,32.40%,109.24亿
2012,,,3.68,,12.68,21.89%,3.42亿,30.35%,4.48,111.20亿,2.99亿,27.00%,104.05亿
2011,,,3.56,,10.4,-46.28%,2.63亿,-67.38%,4.26,119.23亿,5853.68万,25.25%,98.99亿
2010,,,4.55,,19.36,-5.67%,8.05亿,-20.04%,4.79,132.58亿,11.52亿,41.59%,111.23亿
