报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,547.041,56.8059,9.63,7.3685,18.56,18.81%,4.97亿,32.07%,9.42,1392.63亿,49.48亿,26.94%,538.77亿
2025,577.716,56.8059,10.17,7.5292,76.73,185.99%,20.09亿,405.49%,9.24,1179.02亿,44.18亿,26.46%,528.72亿
2024,380.873,28.3177,13.45,14.1958,26.83,-9.21%,3.97亿,-40.80%,6.56,533.33亿,33.88亿,15.14%,189.48亿
2023,301.017,28.3177,10.63,10.1867,29.55,12.68%,6.71亿,-12.51%,6.27,488.43亿,35.44亿,22.82%,181.24亿
2022,312.627,28.3177,11.04,11.9187,26.23,-11.59%,7.67亿,-13.66%,5.92,424.69亿,31.06亿,29.25%,167.61亿
2021,384.554,28.3177,13.58,12.961,29.67,58.11%,8.89亿,51.16%,5.78,382.84亿,28.02亿,29.95%,163.81亿
2020,488.941,23.7812,20.56,26.063,18.76,15.87%,5.88亿,12.76%,4.45,276.85亿,24.27亿,31.33%,105.94亿
2019,,,,,16.19,63.62%,5.21亿,930.57%,4.24,175.28亿,20.23亿,32.19%,80.67亿
2018,,,,,9.9,-21.61%,5058.80万,-86.01%,4.02,83.95亿,17.61亿,5.11%,76.49亿
2017,,,,,12.63,-31.25%,3.61亿,-40.75%,3.99,89.69亿,17.51亿,29.60%,75.93亿
2016,,,,,18.36,-40.37%,6.10亿,-58.54%,3.98,119.71亿,17.92亿,35.05%,78.96亿
2015,,,,,30.79,84.56%,14.71亿,105.81%,4.07,168.88亿,21.21亿,48.66%,80.29亿
2014,,,,,16.68,66.67%,7.15亿,165.03%,2.72,109.49亿,11.82亿,43.78%,43.49亿
2013,,,,,10.01,21.77%,2.70亿,187.23%,2.14,81.71亿,7.12亿,27.25%,34.61亿
2012,,,,,8.22,-5.77%,9391.96万,-29.32%,False,62.75亿,5.74亿,11.20%,32.52亿
2011,,,,,8.72,-25.82%,1.33亿,-70.68%,False,76.35亿,5.46亿,14.52%,31.97亿
2010,,,,,11.76,-14.76%,4.53亿,-22.72%,False,78.78亿,4.54亿,38.98%,28.19亿
