报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,323.373,43.9963,7.35,11.1816,7.23,-4.45%,2.93亿,5.93%,5.37,357.21亿,31.54亿,40.78%,239.68亿
2025,348.451,43.9963,7.92,12.4181,28.06,2.83%,10.78亿,7.59%,5.24,348.26亿,28.44亿,38.58%,233.90亿
2024,314.447,36.8636,8.53,11.5224,27.29,27.12%,10.02亿,47.95%,4.85,294.52亿,25.63亿,32.06%,182.23亿
2023,284.956,36.8636,7.73,11.5087,24.76,23.30%,6.77亿,4.85%,4.66,178.44亿,23.48亿,27.59%,175.19亿
2022,279.795,36.8636,7.59,13.934,20.08,-26.75%,6.46亿,-33.93%,4.48,189.62亿,22.35亿,32.37%,168.50亿
2021,345.043,36.8636,9.36,12.5836,27.42,15.91%,9.77亿,20.71%,4.46,182.43亿,21.75亿,35.96%,167.94亿
2020,422.088,36.8636,11.45,17.8473,23.65,7.43%,8.10亿,14.06%,4.28,162.54亿,19.56亿,34.46%,159.04亿
2019,395.858,32.9882,12.0,17.9772,22.02,78.44%,7.10亿,206.24%,3.36,113.69亿,16.19亿,32.48%,112.05亿
2018,183.36,27.4902,6.67,14.859,12.34,-11.13%,2.32亿,-43.55%,3.85,71.07亿,14.04亿,19.10%,107.02亿
2017,,,,,13.88,-7.67%,4.11亿,-16.81%,3.79,81.92亿,12.45亿,29.77%,94.00亿
2016,,,,,15.0,-50.01%,4.94亿,-65.07%,3.74,110.34亿,12.05亿,32.92%,92.80亿
2015,,,,,30.0,111.08%,14.13亿,154.85%,3.74,157.27亿,12.44亿,47.10%,92.74亿
2014,,,,,14.21,40.04%,5.54亿,104.64%,2.43,80.84亿,5.25亿,39.08%,46.61亿
2013,,,,,10.15,18.56%,2.71亿,54.77%,2.14,55.44亿,2.26亿,26.86%,41.09亿
2012,,,,,8.56,-5.55%,1.75亿,-7.28%,False,65.90亿,1.27亿,20.57%,39.49亿
2011,,,,,9.06,-28.07%,1.89亿,-56.18%,False,70.29亿,6.71亿,20.91%,37.28亿
2010,,,,,12.6,-20.02%,4.31亿,-37.99%,False,89.03亿,8.92亿,34.23%,36.53亿
