报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,793.587,84.9665,9.34,4.8508,40.9,5.29%,15.87亿,10.55%,9.63,2436.66亿,122.13亿,38.80%,848.26亿
2025,926.135,84.9665,10.9,6.0303,153.58,26.18%,56.34亿,68.16%,9.38,2221.14亿,105.73亿,36.68%,826.89亿
2024,878.554,84.9665,10.34,7.2178,121.72,12.29%,33.50亿,21.66%,8.99,1932.82亿,81.51亿,17.46%,814.00亿
2023,705.222,84.9665,8.3,4.1265,170.9,-8.75%,27.54亿,-8.53%,8.68,2011.63亿,87.57亿,16.13%,787.60亿
2022,713.719,84.9665,8.4,3.8108,187.29,-23.15%,30.11亿,-43.95%,8.52,2056.26亿,88.38亿,16.07%,773.98亿
2021,924.562,69.9366,13.22,3.7939,243.7,5.34%,53.71亿,97.26%,8.45,1811.40亿,91.30亿,22.05%,641.43亿
2020,711.255,69.9366,10.17,3.0745,231.34,21.42%,27.23亿,11.82%,7.89,1383.41亿,74.95亿,11.77%,602.31亿
2019,647.613,69.9366,9.26,3.3992,190.52,84.91%,24.35亿,97.81%,7.72,1158.42亿,67.74亿,13.01%,540.12亿
2018,474.87,69.9366,6.79,4.609,103.03,-2.17%,12.31亿,-65.36%,7.40,888.00亿,65.43亿,12.43%,522.72亿
2017,,,11.55,,105.32,53.16%,35.54亿,53.57%,7.58,903.75亿,84.75亿,34.21%,535.01亿
2016,,,12.82,,68.76,-55.45%,23.14亿,-68.41%,6.51,674.98亿,71.12亿,35.29%,409.38亿
2015,,,18.84,,154.35,180.65%,73.25亿,212.82%,6.62,872.14亿,74.49亿,47.78%,353.76亿
2014,,,,,55.0,69.53%,23.42亿,132.44%,4.35,310.77亿,43.83亿,42.89%,186.25亿
2013,,,,,32.44,36.23%,10.07亿,65.29%,3.68,161.02亿,33.34亿,30.28%,157.78亿
2012,,,,,23.81,-7.46%,6.09亿,-32.92%,3.50,130.29亿,31.27亿,24.81%,149.98亿
2011,,,,,25.73,-16.74%,9.09亿,-30.92%,3.36,135.60亿,31.63亿,35.31%,144.06亿
2010,,,,,30.9,-18.92%,13.15亿,-31.30%,False,207.15亿,28.29亿,42.56%,102.15亿
