报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,228.9,26.25,8.72,4.9078,11.66,7.41%,3.94亿,30.76%,9.61,657.71亿,92.40亿,33.75%,252.44亿
2025,243.6,26.25,9.28,5.2784,46.15,17.75%,14.70亿,101.98%,9.44,605.59亿,88.47亿,31.81%,247.92亿
2024,215.513,26.25,8.21,5.4978,39.2,23.22%,7.28亿,71.31%,8.97,560.58亿,81.13亿,18.54%,235.63亿
2023,199.5,26.25,7.6,6.2716,31.81,-5.77%,4.25亿,0.61%,8.68,463.25亿,77.50亿,13.21%,228.02亿
2022,192.938,26.25,7.35,5.715,33.76,-34.10%,4.22亿,-74.12%,8.54,543.44亿,75.24亿,12.38%,224.40亿
2021,249.375,26.25,9.5,4.8687,51.22,9.38%,16.32亿,-14.11%,8.52,504.16亿,74.97亿,32.85%,224.04亿
2020,312.375,26.25,11.9,6.6704,46.83,18.93%,19.00亿,32.75%,8.12,415.83亿,65.63亿,40.61%,213.67亿
2019,273.787,26.25,10.43,6.9542,39.37,54.70%,14.32亿,69.39%,7.49,320.80亿,53.87亿,36.36%,196.94亿
2018,206.588,26.25,7.87,8.1174,25.45,-4.73%,8.45亿,-17.07%,6.99,193.17亿,45.34亿,33.20%,184.00亿
2017,,,,,26.72,-1.50%,10.19亿,-38.85%,6.07,206.63亿,40.26亿,38.20%,128.20亿
2016,,,,,27.1,-54.90%,16.66亿,-37.84%,5.66,201.25亿,33.95亿,60.79%,119.91亿
2015,,,,,60.11,89.74%,26.81亿,287.85%,4.97,283.85亿,22.40亿,44.63%,105.53亿
2014,,,,,31.68,61.13%,6.91亿,5.67%,3.67,175.34亿,3.79亿,21.83%,77.82亿
2013,,,,,19.66,29.90%,6.54亿,61.92%,4.94,104.94亿,28.42亿,33.21%,70.46亿
2012,,,,,15.14,-9.21%,4.04亿,-33.80%,4.48,131.50亿,23.65亿,26.69%,63.27亿
2011,,,,,16.67,-26.01%,6.10亿,-39.39%,False,125.14亿,22.77亿,36.61%,61.21亿
2010,,,,,22.53,-11.56%,10.07亿,-1.90%,False,151.16亿,21.47亿,44.69%,42.26亿
