报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,332.371,37.0536,8.97,3.4209,24.29,28.83%,6.92亿,18.83%,9.75,987.65亿,132.09亿,28.87%,363.41亿
2025,344.598,37.0536,9.3,4.0747,84.57,26.90%,22.77亿,36.32%,9.57,805.40亿,125.22亿,27.09%,356.88亿
2024,320.023,37.1256,8.62,4.8023,66.64,-0.98%,16.70亿,-2.80%,9.09,583.15亿,113.04亿,25.19%,339.54亿
2023,327.371,37.2436,8.79,4.8644,67.3,17.39%,17.18亿,43.41%,8.74,626.07亿,106.66亿,25.94%,327.97亿
2022,312.101,37.2436,8.38,5.4439,57.33,-21.04%,11.98亿,-48.28%,8.36,547.46亿,95.90亿,21.01%,313.32亿
2021,327.538,30.2436,10.83,4.5109,72.61,17.55%,23.17亿,24.38%,8.07,462.41亿,89.96亿,32.66%,246.19亿
2020,467.566,30.2436,15.46,7.7118,60.63,39.39%,18.63亿,43.44%,7.43,348.39亿,76.33亿,30.90%,225.40亿
2019,266.144,30.2436,8.8,6.1183,43.5,15.49%,12.99亿,28.51%,6.85,273.80亿,64.60亿,29.84%,207.88亿
2018,203.842,30.2436,6.74,5.4127,37.66,-14.22%,10.10亿,-15.89%,6.44,239.92亿,56.40亿,27.17%,195.61亿
2017,,,8.92,,43.91,-6.01%,12.01亿,-7.49%,6.23,190.13亿,50.64亿,27.38%,188.87亿
2016,,,12.13,,46.71,-30.78%,12.99亿,-44.96%,5.79,245.06亿,43.62亿,27.69%,175.54亿
2015,,,14.92,,67.48,147.95%,23.60亿,182.10%,5.45,325.56亿,37.00亿,34.94%,165.15亿
2014,,,18.29,,27.22,76.02%,8.36亿,164.78%,3.48,137.40亿,21.11亿,30.74%,98.85亿
2013,,,7.81,,15.46,0.83%,3.16亿,15.13%,5.20,82.48亿,16.18亿,20.41%,67.65亿
2012,,,8.16,,15.34,42.11%,2.74亿,18.45%,4.90,105.96亿,14.85亿,17.89%,63.49亿
2011,,,4.5,,10.8,-34.35%,2.32亿,-47.15%,3.24,74.85亿,13.92亿,21.46%,32.51亿
2010,,,6.64,,16.45,16.25%,4.38亿,-15.11%,3.02,90.96亿,12.29亿,26.65%,30.23亿
