报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,150.011,10.609,14.14,5.9528,6.3,-0.97%,1.55亿,13.02%,8.82,379.48亿,42.54亿,24.66%,93.54亿
2025,161.681,10.609,15.24,6.2329,25.94,26.54%,6.36亿,73.98%,8.67,271.31亿,40.99亿,24.50%,91.98亿
2024,173.563,10.609,16.36,8.4665,20.5,12.97%,3.65亿,-8.03%,7.95,223.49亿,46.84亿,3137.69%,84.39亿
2023,146.616,10.609,13.82,7.2871,20.12,-17.64%,3.97亿,12.82%,7.30,205.44亿,44.92亿,2767.98%,78.71亿
2022,106.727,10.609,10.06,4.3687,24.43,5.66%,3.52亿,-28.82%,6.99,180.47亿,42.29亿,334.37%,75.35亿
2021,141.312,10.609,13.32,6.1121,23.12,29.07%,4.95亿,-30.15%,6.82,179.01亿,40.56亿,382.11%,73.60亿
2020,230.215,10.609,21.7,12.8468,17.92,39.86%,7.08亿,1002.60%,6.51,148.32亿,37.32亿,450.50%,70.24亿
2019,154.679,10.609,14.58,12.0749,12.81,8.24%,6423.76万,194.04%,5.85,120.41亿,30.49亿,10.52%,65.89亿
2018,88.691,10.609,8.36,7.4971,11.83,-67.54%,2184.63万,-97.19%,5.84,123.29亿,30.25亿,-20.41%,66.28亿
2017,,,11.46,,36.46,49.49%,7.77亿,95.43%,6.16,75.81亿,32.38亿,33.45%,68.98亿
2016,,,13.59,,24.35,66.79%,3.98亿,205.08%,3.76,6.56亿,9.80亿,21.47%,20.51亿
2015,,,13.05,,3.65,-38.84%,1.30亿,-15.74%,3.53,5.75亿,8.84亿,30.88%,19.23亿
2014,,,7.42,,5.97,-46.51%,1.55亿,-47.73%,3.35,10.80亿,8.13亿,25.48%,18.43亿
2013,,,5.29,,11.17,18.14%,2.96亿,61.72%,3.19,12.22亿,7.52亿,26.50%,16.73亿
2012,,,4.02,,9.45,6.53%,1.83亿,34.24%,2.74,6.29亿,5.29亿,19.18%,14.41亿
2011,,,3.65,,8.87,-36.92%,1.36亿,21.02%,2.48,4.63亿,4.11亿,15.48%,13.09亿
2010,,,6.08,,14.07,39.71%,1.13亿,11.12%,2.33,2.67亿,3.37亿,7.57%,12.40亿
