报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,1728.644,90.2686,19.15,4.1466,104.22,41.48%,48.00亿,31.79%,19.73,6947.37亿,606.52亿,46.16%,2114.73亿
2025,2129.436,90.2686,23.59,5.9465,358.1,6.83%,163.83亿,6.72%,19.24,6025.78亿,558.72亿,45.72%,2069.96亿
2024,1549.987,90.273,17.17,4.6242,335.19,13.37%,153.51亿,20.40%,18.10,4793.86亿,486.94亿,37.43%,1918.94亿
2023,1184.243,90.7466,13.05,3.2376,365.78,14.19%,127.51亿,15.35%,16.91,5637.80亿,424.31亿,35.64%,1822.17亿
2022,1054.584,90.7559,11.62,3.2923,320.32,-15.50%,110.54亿,-17.17%,18.37,5071.58亿,379.29亿,35.48%,1678.57亿
2021,1419.588,90.7665,15.64,3.7451,379.05,20.55%,133.46亿,23.32%,15.25,5039.51亿,355.60亿,35.88%,1520.36亿
2020,1400.527,90.7665,15.43,4.4539,314.45,26.47%,108.22亿,20.23%,14.22,4458.57亿,289.99亿,34.57%,1323.12亿
2019,1559.368,90.7665,17.18,6.2718,248.63,54.35%,90.02亿,78.86%,13.50,3698.94亿,231.78亿,36.43%,1256.55亿
2018,1113.127,82.515,13.49,6.9104,161.08,-23.69%,50.33亿,-45.75%,12.53,1933.47亿,194.16亿,32.04%,1047.50亿
2017,,,14.12,,211.09,24.71%,92.77亿,47.94%,12.19,1614.49亿,189.77亿,44.57%,885.90亿
2016,,,14.25,,169.26,-35.58%,62.71亿,-41.38%,11.78,1967.75亿,161.95亿,38.54%,856.60亿
2015,,,15.32,,262.62,117.72%,106.97亿,138.44%,11.28,2663.72亿,152.32亿,41.12%,815.29亿
2014,,,18.7,,120.62,67.94%,44.86亿,102.11%,7.37,1458.65亿,103.19亿,37.64%,419.44亿
2013,,,6.71,,71.82,21.81%,22.20亿,37.39%,6.37,629.07亿,79.33亿,31.66%,368.01亿
2012,,,7.23,,58.83,-5.57%,16.16亿,-9.46%,6.10,464.22亿,80.87亿,28.23%,346.38亿
2011,,,5.69,,62.3,-30.00%,17.84亿,-47.90%,5.93,609.57亿,77.24亿,29.22%,336.15亿
2010,,,9.86,,89.0,-6.94%,34.25亿,-9.76%,5.87,733.81亿,71.98亿,39.10%,332.40亿
