报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,426.683,32.3245,13.2,11.6835,9.13,-11.55%,3.53亿,-7.02%,9.53,532.87亿,60.83亿,38.69%,338.39亿
2025,448.664,32.3245,13.88,9.5238,47.11,10.25%,21.02亿,36.10%,9.36,501.23亿,58.15亿,44.65%,332.88亿
2024,350.721,32.3245,10.85,8.2078,42.73,97.89%,15.44亿,88.39%,8.77,513.26亿,49.67亿,16.55%,283.99亿
2023,257.95,32.3245,7.98,5.4477,47.35,38.08%,8.20亿,58.50%,8.37,313.61亿,45.12亿,17.35%,271.08亿
2022,240.494,32.3245,7.44,7.0135,34.29,-36.21%,5.17亿,-68.70%,8.06,351.78亿,41.28亿,15.08%,260.89亿
2021,351.044,32.3245,10.86,6.5298,53.76,-5.48%,16.52亿,7.31%,8.25,412.78亿,49.05亿,30.74%,266.93亿
2020,337.574,27.5796,12.24,5.9359,56.87,27.10%,15.40亿,26.13%,7.67,315.83亿,42.28亿,27.08%,211.85亿
2019,329.576,27.5796,11.95,7.3648,44.75,19.88%,12.21亿,21.10%,7.36,280.83亿,36.69亿,30.74%,203.29亿
2018,237.736,27.5796,8.62,7.1737,33.14,-8.77%,10.08亿,-23.01%,7.12,212.47亿,41.53亿,30.42%,196.77亿
2017,,,12.78,,36.33,1.51%,13.09亿,-3.23%,6.97,227.20亿,39.44亿,36.11%,192.53亿
2016,,,17.66,,35.73,-33.37%,13.53亿,-33.83%,6.64,213.74亿,35.59亿,37.86%,183.55亿
2015,,,26.1,,53.63,106.21%,20.45亿,96.49%,5.43,206.98亿,33.16亿,38.15%,135.95亿
2014,,,,,25.98,27.73%,10.41亿,55.66%,3.71,116.32亿,24.97亿,40.06%,74.35亿
2013,,,,,20.34,42.10%,6.68亿,30.30%,3.02,57.54亿,17.42亿,32.87%,60.53亿
2012,,,,,14.31,29.94%,5.13亿,16.41%,2.68,77.14亿,12.48亿,35.84%,53.69亿
2011,,,,,11.02,-14.51%,4.41亿,-13.64%,2.36,65.65亿,8.55亿,40.01%,47.30亿
2010,,,,,12.88,-4.41%,5.10亿,0.81%,False,117.86亿,11.18亿,39.61%,31.25亿
