报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,4679.758,556.4516,8.41,2.1408,546.49,5.23%,200.98亿,3.02%,13.35,3952.33亿,37.49%,8667.33亿
2025,4284.677,556.4516,7.7,2.0166,2124.75,-0.55%,706.18亿,2.98%,13.01,3752.34亿,33.65%,8476.30亿
2024,3639.16,543.9701,6.69,1.7034,2136.46,3.76%,685.76亿,2.33%,12.58,3438.68亿,32.52%,8073.65亿
2023,2301.443,489.6687,4.7,1.1178,2058.96,-2.60%,670.16亿,7.91%,12.30,3206.19亿,33.06%,7346.75亿
2022,2050.37,489.3484,4.19,0.9699,2113.92,3.34%,621.03亿,11.61%,11.25,2855.05亿,29.78%,6858.30亿
2021,1781.228,489.3484,3.64,0.8708,2045.57,5.05%,556.41亿,13.60%,10.45,2540.05亿,27.56%,6426.26亿
2020,1869.311,489.3484,3.82,0.9599,1947.31,3.81%,489.80亿,2.01%,9.60,2236.25亿,25.44%,5600.38亿
2019,2158.025,489.3481,4.41,1.1504,1875.84,13.79%,480.15亿,7.87%,9.04,2034.11亿,26.12%,5325.24亿
2018,1835.055,489.348,3.75,1.1131,1648.54,5.20%,445.13亿,4.57%,8.21,1798.20亿,27.53%,4530.86亿
2017,,,4.08,,1567.08,1.86%,425.66亿,2.25%,7.45,1631.21亿,27.36%,4124.33亿
2016,,,4.09,,1538.44,5.96%,416.29亿,1.14%,7.04,1366.66亿,27.17%,3844.96亿
2015,,,4.45,,1451.34,16.37%,411.58亿,1.15%,6.49,1186.68亿,28.76%,3196.86亿
2014,,,5.02,,1247.16,19.28%,406.92亿,3.87%,5.55,955.86亿,33.24%,2673.46亿
2013,,,2.25,,1045.58,16.91%,391.75亿,26.24%,4.82,766.90亿,37.99%,2307.25亿
2012,,,2.39,,894.35,16.23%,310.32亿,0.69%,4.24,573.33亿,35.09%,2030.86亿
2011,,,2.17,,769.48,37.99%,308.19亿,43.28%,3.73,506.22亿,40.08%,1787.81亿
2010,,,2.65,,557.65,36.68%,215.09亿,50.20%,3.08,305.76亿,39.06%,1245.38亿
