报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,24218.826,3499.8303,6.92,2.9355,2062.55,10.49%,751.85亿,4.52%,8.08,1.34万亿,36.64%,3.30万亿
2025,26878.697,3499.8303,7.68,3.7058,7253.06,2.08%,2910.41亿,3.18%,7.91,1.27万亿,40.26%,3.24万亿
2024,17639.145,3499.8303,5.04,2.4824,7105.55,2.26%,2820.83亿,4.72%,7.40,1.15万亿,39.78%,3.10万亿
2023,11409.447,3499.8303,3.26,1.6421,6948.28,0.03%,2693.56亿,3.91%,6.88,1.11万亿,38.83%,2.90万亿
2022,8539.586,3499.8303,2.44,1.2293,6946.52,0.69%,2592.32亿,7.48%,6.37,1.03万亿,35.69%,2.67万亿
2021,8014.611,3499.8303,2.29,1.1133,7199.15,9.42%,2411.83亿,11.70%,5.87,9259.55亿,33.61%,2.42万亿
2020,8084.608,3499.8303,2.31,1.2287,6579.61,4.89%,2159.25亿,1.80%,5.39,8282.40亿,32.89%,2.21万亿
2019,9029.562,3499.8303,2.58,1.4395,6272.68,4.79%,2120.98亿,4.59%,5.00,7411.01亿,33.94%,1.95万亿
2018,8399.593,3499.8303,2.4,1.4032,5985.88,11.46%,2027.83亿,5.09%,4.54,6529.44亿,33.85%,1.67万亿
2017,,,2.44,,5370.41,6.13%,1929.62亿,4.90%,4.15,5775.73亿,35.96%,1.43万亿
2016,,,1.88,,5060.16,-5.62%,1839.41亿,1.86%,3.81,4960.83亿,36.37%,1.32万亿
2015,,,1.86,,5361.68,2.94%,1805.82亿,0.62%,3.48,4120.05亿,33.72%,1.21万亿
2014,,,2.04,,5208.58,12.59%,1794.61亿,7.90%,3.05,3299.89亿,34.46%,1.03万亿
2013,,,1.27,,4626.25,9.64%,1663.15亿,14.63%,2.60,2434.82亿,35.93%,8445.37亿
2012,,,1.34,,4219.64,11.71%,1450.94亿,19.00%,2.31,2084.88亿,34.39%,7513.54亿
2011,,,1.2,,3777.31,30.06%,1219.27亿,28.52%,2.00,1310.86亿,32.29%,6497.88亿
2010,,,1.2,,2904.18,30.66%,948.73亿,45.98%,1.67,454.84亿,32.68%,5422.36亿
