报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,826.79,113.57,7.28,2.6398,78.3,8.39%,39.35亿,5.07%,11.97,636.48亿,51.36%,1442.22亿
2025,709.812,113.57,6.25,2.4777,286.48,1.37%,121.28亿,5.35%,11.55,597.21亿,43.35%,1392.96亿
2024,633.721,113.57,5.58,2.2424,282.61,1.09%,115.13亿,5.60%,11.07,536.33亿,41.71%,1336.09亿
2023,404.309,113.57,3.56,1.4462,279.56,-3.57%,109.02亿,6.10%,10.19,501.54亿,39.80%,1235.02亿
2022,324.81,113.57,2.86,1.1204,289.91,-6.00%,102.76亿,7.49%,9.45,448.22亿,36.14%,1150.16亿
2021,331.624,113.57,2.92,1.0752,308.42,9.42%,95.60亿,13.79%,8.85,404.52亿,31.51%,1060.44亿
2020,367.967,113.57,3.24,1.3055,281.86,5.84%,84.01亿,-13.92%,8.21,360.94亿,30.39%,946.32亿
2019,522.422,113.57,4.6,1.9618,266.3,1.97%,97.60亿,7.75%,7.73,325.12亿,37.51%,893.62亿
2018,,,,,261.16,8.87%,90.58亿,1.37%,7.03,260.93亿,35.09%,717.09亿
2017,,,,,239.88,10.52%,89.36亿,12.48%,6.32,213.90亿,37.55%,648.06亿
2016,,,,,217.05,-0.32%,79.45亿,9.99%,5.61,164.43亿,36.86%,537.50亿
2015,,,,,217.75,10.48%,72.23亿,5.78%,4.98,125.98亿,33.19%,478.48亿
2014,,,,,197.1,21.59%,68.28亿,13.98%,4.41,95.99亿,34.57%,424.08亿
2013,,,,,162.1,19.60%,59.91亿,11.74%,False,60.96亿,37.11%,364.49亿
2012,,,,,135.54,22.95%,53.61亿,25.54%,False,49.33亿,39.68%,317.89亿
2011,,,,,110.24,41.13%,42.71亿,37.20%,False,39.48亿,38.76%,275.71亿
2010,,,,,78.11,35.27%,31.13亿,60.70%,False,27.68亿,39.82%,219.66亿
