报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,380.704,36.2575,10.5,2.3818,39.96,11.57%,17.93亿,10.40%,16.39,299.30亿,47.51%,695.64亿
2025,370.391,34.7459,10.66,2.4508,151.13,10.48%,56.54亿,10.49%,16.11,281.37亿,40.39%,659.99亿
2024,304.72,34.7457,8.77,2.2276,136.79,3.54%,51.17亿,3.80%,15.56,253.63亿,40.36%,637.64亿
2023,216.813,34.7456,6.24,1.6412,132.11,-1.89%,49.30亿,1.27%,14.37,237.62亿,39.58%,592.99亿
2022,201.176,34.7454,5.79,1.4941,134.65,-7.23%,48.68亿,4.38%,12.90,213.75亿,38.00%,514.95亿
2021,251.207,34.7451,7.23,1.7307,145.15,11.24%,46.64亿,5.43%,12.19,191.43亿,33.48%,492.47亿
2020,,,,,130.48,9.21%,44.24亿,5.14%,11.28,171.02亿,34.99%,419.94亿
2019,,,,,119.48,10.22%,42.07亿,11.61%,10.25,149.34亿,36.17%,386.14亿
2018,,,,,108.4,6.85%,37.70亿,1.18%,9.00,120.45亿,35.26%,346.12亿
2017,,,,,101.45,5.86%,37.26亿,6.39%,8.33,115.97亿,37.10%,324.60亿
2016,,,,,95.83,12.09%,35.02亿,10.48%,7.61,98.59亿,36.55%,238.12亿
2015,,,,,85.49,14.46%,31.70亿,12.13%,6.81,81.48亿,37.08%,212.93亿
2014,,,,,74.69,28.29%,28.27亿,21.37%,False,69.55亿,37.85%,159.03亿
2013,,,,,58.22,25.44%,23.29亿,21.01%,False,56.76亿,40.01%,134.79亿
2012,,,,,46.41,30.33%,19.25亿,29.27%,False,45.55亿,41.53%,82.47亿
2011,,,,,35.58,29.04%,14.89亿,34.91%,False,31.22亿,41.85%,64.51亿
2010,,,,,27.57,31.67%,11.04亿,26.01%,False,20.94亿,40.03%,50.28亿
