报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,2192.392,66.0359,33.2,2.6889,203.84,10.21%,81.81亿,10.30%,35.21,1236.42亿,40.57%,2587.12亿
2025,1854.948,66.0359,28.09,2.5774,719.69,8.01%,293.33亿,8.13%,33.69,1159.46亿,41.03%,2486.29亿
2024,1537.316,66.0359,23.28,2.3072,666.31,8.19%,271.27亿,6.23%,31.55,1027.31亿,40.85%,2342.60亿
2023,1236.192,66.0359,18.72,2.0073,615.85,6.40%,255.35亿,10.66%,26.71,871.54亿,41.58%,2022.10亿
2022,1954.663,66.0359,29.6,3.3772,578.79,9.67%,230.75亿,18.05%,23.14,714.93亿,39.97%,1685.26亿
2021,2270.975,66.0359,34.39,4.3032,527.74,28.37%,195.46亿,29.87%,20.38,586.28亿,37.16%,1499.35亿
2020,1798.2,60.0802,29.93,4.374,411.11,17.19%,150.50亿,9.73%,17.26,479.19亿,36.82%,1189.93亿
2019,1320.406,56.2833,23.46,3.7638,350.82,21.26%,137.15亿,22.60%,15.19,406.95亿,39.31%,1007.36亿
2018,692.216,52.0855,13.29,2.3927,289.3,14.28%,111.86亿,19.85%,12.68,324.48亿,38.79%,812.30亿
2017,,,14.24,,253.14,7.06%,93.34亿,19.50%,10.31,258.78亿,36.96%,572.06亿
2016,,,10.05,,236.45,21.16%,78.10亿,19.35%,11.66,202.15亿,33.08%,503.86亿
2015,,,9.09,,195.16,27.09%,65.44亿,16.29%,10.30,167.79亿,33.65%,450.97亿
2014,,,7.52,,153.57,20.34%,56.27亿,16.10%,10.49,133.47亿,36.69%,341.64亿
2013,,,4.22,,127.61,23.40%,48.47亿,19.15%,8.84,106.29亿,37.98%,255.22亿
2012,,,4.73,,103.42,29.82%,40.68亿,25.04%,7.67,83.48亿,39.34%,221.17亿
2011,,,3.98,,79.66,34.75%,32.54亿,40.12%,6.49,55.18亿,40.84%,187.14亿
2010,,,5.3,,59.12,41.59%,23.22亿,59.32%,5.51,34.41亿,39.28%,158.77亿
