报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,未分配利润,销售净利率,股东权益
2026-03-31,380.9,44.7066,8.52,2.6415,36.05,10.94%,16.82亿,8.23%,11.59,184.16亿,48.44%,651.94亿
2025,370.618,44.7066,8.29,2.9995,123.56,1.08%,53.48亿,5.53%,11.19,168.49亿,45.15%,633.48亿
2024,296.297,38.3308,7.73,2.4239,122.24,3.01%,50.68亿,10.16%,11.46,154.44亿,43.14%,552.56亿
2023,208.638,36.6674,5.69,1.7583,118.66,0.88%,46.01亿,17.41%,10.77,137.23亿,40.43%,476.66亿
2022,239.804,36.6673,6.54,2.0386,117.63,8.62%,39.18亿,26.13%,9.69,115.64亿,35.00%,404.62亿
2021,165.669,33.3338,4.97,1.5299,108.29,4.49%,31.07亿,20.79%,9.79,97.10亿,30.36%,342.89亿
2020,182.0,33.3333,5.46,1.7561,103.64,9.97%,25.72亿,4.00%,8.92,87.95亿,26.30%,312.31亿
2019,235.666,33.3333,7.07,2.5007,94.24,21.80%,24.73亿,10.31%,8.34,72.81亿,27.70%,289.53亿
2018,,,,,77.37,12.16%,22.42亿,6.26%,7.85,60.44亿,29.91%,245.86亿
2017,,,,,68.99,-1.55%,21.10亿,8.22%,7.11,46.30亿,31.17%,222.79亿
2016,,,,,70.07,1.29%,19.50亿,7.41%,6.65,33.30亿,28.36%,209.05亿
2015,,,,,69.18,19.10%,18.15亿,3.13%,6.22,21.63亿,26.61%,196.24亿
2014,,,,,58.09,28.81%,17.60亿,10.12%,5.71,19.39亿,30.99%,173.82亿
2013,,,,,45.09,30.53%,15.98亿,17.82%,5.15,16.02亿,36.08%,156.44亿
2012,,,,,34.55,50.32%,13.56亿,31.53%,False,13.75亿,40.04%,149.11亿
2011,,,,,22.98,64.72%,10.31亿,69.49%,False,10.78亿,45.38%,137.33亿
2010,,,,,13.95,35.36%,6.08亿,78.18%,False,5.31亿,29.82%,127.42亿
