报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,320.738,43.6378,7.35,6.0425,13.27,-12.59%,5.42亿,-15.38%,8.91,859.42亿,91.28亿,40.84%,388.95亿
2025,364.376,43.6378,8.35,5.8309,62.49,6.81%,24.26亿,8.10%,8.74,770.62亿,85.86亿,38.83%,381.50亿
2024,354.339,43.6378,8.12,6.0571,58.5,23.49%,22.44亿,20.17%,8.49,646.95亿,75.26亿,28.61%,370.60亿
2023,282.773,43.6378,6.48,4.4496,63.55,18.99%,18.68亿,7.75%,7.92,481.56亿,68.28亿,29.40%,345.95亿
2022,256.154,43.6378,5.87,4.796,53.41,-12.58%,17.33亿,-9.21%,7.55,430.59亿,61.83亿,32.47%,329.55亿
2021,301.974,43.6378,6.92,4.9423,61.1,34.91%,19.09亿,39.35%,7.40,411.66亿,56.30亿,31.27%,323.12亿
2020,342.557,43.6378,7.85,7.5636,45.29,41.57%,13.70亿,49.84%,7.07,326.63亿,50.62亿,30.27%,308.72亿
2019,238.274,33.6545,7.08,7.4484,31.99,26.04%,9.14亿,36.40%,7.38,327.59亿,45.65亿,28.60%,248.46亿
2018,174.33,33.6545,5.18,6.8688,25.38,-27.71%,6.70亿,-44.31%,7.32,181.08亿,49.97亿,26.42%,246.48亿
2017,,,8.0,,35.11,4.00%,12.04亿,-14.35%,7.54,203.11亿,49.95亿,34.58%,253.85亿
2016,,,9.48,,33.76,-41.53%,14.05亿,-49.52%,10.56,194.04亿,46.77亿,41.93%,208.85亿
2015,,,10.55,,57.73,65.61%,27.84亿,102.97%,10.15,251.73亿,44.54亿,48.23%,200.63亿
2014,,,14.52,,34.86,75.52%,13.72亿,106.17%,8.89,145.12亿,26.99亿,39.35%,174.60亿
2013,,,4.7,,19.86,29.64%,6.65亿,63.59%,7.90,77.82亿,19.19亿,33.46%,156.34亿
2012,,,5.09,,15.31,-13.74%,4.07亿,-27.72%,7.61,104.85亿,16.16亿,26.56%,149.45亿
2011,,,3.85,,17.75,-20.83%,5.63亿,-39.16%,7.53,140.29亿,15.08亿,31.70%,147.99亿
2010,,,5.42,,22.42,2.59%,9.25亿,-10.82%,7.63,169.82亿,17.24亿,41.30%,149.80亿
