报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,358.661,40.3443,8.89,7.0216,12.77,0.02%,6.21亿,2.56%,8.09,823.38亿,69.69亿,48.98%,331.20亿
2025,411.512,40.3443,10.2,7.9198,51.96,29.24%,23.52亿,48.86%,7.90,738.79亿,63.22亿,45.28%,323.68亿
2024,324.772,40.3443,8.05,8.0789,40.2,0.73%,15.80亿,9.82%,7.44,744.18亿,52.75亿,39.64%,304.90亿
2023,310.248,40.3443,7.69,7.7737,39.91,27.66%,14.38亿,60.00%,7.09,718.35亿,47.47亿,35.77%,290.69亿
2022,317.106,40.3443,7.86,10.1441,31.26,-59.69%,8.99亿,-49.08%,6.83,608.42亿,41.24亿,29.22%,280.81亿
2021,374.271,31.0341,12.06,4.8249,77.57,12.93%,17.66亿,17.58%,6.31,534.01亿,39.40亿,23.79%,201.13亿
2020,368.064,31.0341,11.86,5.3583,68.69,76.16%,15.02亿,51.35%,5.82,393.87亿,29.68亿,22.28%,185.27亿
2019,393.512,31.0341,12.68,10.0926,38.99,41.62%,9.92亿,69.40%,5.45,369.55亿,22.37亿,26.02%,173.52亿
2018,277.755,31.0341,8.95,10.0892,27.53,-6.92%,5.86亿,-34.18%,5.32,243.14亿,23.63亿,21.41%,166.83亿
2017,,,,,29.58,-15.29%,8.90亿,-8.57%,5.14,212.92亿,19.48亿,30.36%,144.71亿
2016,,,,,34.84,-30.50%,9.73亿,-46.76%,False,202.77亿,15.96亿,28.08%,139.15亿
2015,,,,,50.12,102.92%,18.28亿,153.73%,4.92,236.73亿,16.01亿,36.56%,138.29亿
2014,,,,,24.7,59.32%,7.21亿,84.31%,3.49,157.55亿,11.33亿,29.25%,72.91亿
2013,,,,,15.5,1.79%,3.91亿,135.58%,3.01,76.02亿,6.08亿,25.43%,62.51亿
2012,,,,,15.23,9.41%,1.66亿,-17.96%,False,96.14亿,4.29亿,16.26%,64.33亿
2011,,,,,13.92,-23.43%,2.02亿,-56.42%,False,99.36亿,3.91亿,21.03%,62.63亿
2010,,,,,18.18,-17.04%,4.64亿,-35.02%,False,126.68亿,5.51亿,32.16%,64.20亿
