报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,320.916,44.6958,7.18,5.6341,14.24,17.11%,2.84亿,-2.25%,6.83,989.38亿,47.75亿,20.30%,324.17亿
2025,352.65,44.6958,7.89,5.8922,59.85,-10.84%,17.54亿,24.97%,6.74,824.86亿,45.02亿,30.29%,320.26亿
2024,358.46,44.6958,8.02,5.3406,67.12,-2.64%,14.03亿,20.38%,6.45,733.32亿,37.18亿,21.28%,290.15亿
2023,275.773,44.6958,6.17,4.0002,68.94,29.87%,11.66亿,170.76%,6.25,732.91亿,32.85亿,17.37%,281.23亿
2022,261.917,44.6958,5.86,4.9344,53.08,-21.37%,4.31亿,-69.47%,6.04,724.69亿,27.13亿,8.63%,271.65亿
2021,341.476,44.6958,7.64,5.0582,67.51,30.22%,14.10亿,26.23%,6.06,674.57亿,29.20亿,21.11%,272.09亿
2020,425.057,44.6958,9.51,8.1994,51.84,40.85%,11.17亿,83.07%,5.82,490.72亿,23.66亿,21.84%,261.08亿
2019,319.368,35.0184,9.12,8.6761,36.81,64.51%,6.10亿,204.42%,5.04,356.87亿,18.03亿,16.74%,177.37亿
2018,248.28,35.0184,7.09,11.0988,22.37,-29.42%,2.00亿,-73.36%,4.96,359.82亿,17.89亿,9.02%,174.30亿
2017,,,11.28,,31.7,-6.94%,7.52亿,-33.11%,5.02,310.28亿,19.23亿,23.80%,176.57亿
2016,,,16.43,,34.06,-39.61%,11.25亿,-42.99%,4.44,298.75亿,17.80亿,32.68%,124.76亿
2015,,,25.79,,56.41,191.00%,19.73亿,197.15%,4.34,290.94亿,15.99亿,34.89%,121.94亿
2014,,,14.65,,19.38,71.19%,6.64亿,141.27%,4.46,106.35亿,11.24亿,34.07%,54.13亿
2013,,,5.13,,11.32,42.34%,2.75亿,131.41%,3.87,81.06亿,7.34亿,24.28%,46.46亿
2012,,,5.66,,7.93,-23.22%,1.19亿,-46.74%,3.71,83.45亿,6.30亿,14.97%,44.56亿
2011,,,,,10.33,-32.78%,2.23亿,-58.44%,3.18,77.66亿,10.87亿,21.56%,31.78亿
2010,,,,,15.36,-11.89%,5.37亿,-32.15%,3.11,100.26亿,9.32亿,34.96%,31.24亿
