报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,353.759,47.1679,7.5,19.9189,4.44,-21.64%,1.96亿,-33.71%,5.42,233.51亿,32.09亿,43.93%,258.19亿
2025,386.305,47.1679,8.19,15.8712,24.34,37.76%,12.14亿,58.84%,5.35,241.70亿,30.14亿,50.22%,254.79亿
2024,392.909,47.1679,8.33,22.2359,17.67,68.36%,7.64亿,144.66%,5.18,230.81亿,28.37亿,37.70%,246.58亿
2023,346.212,47.1679,7.34,28.827,12.01,43.63%,3.12亿,710.57%,4.90,186.02亿,28.49亿,23.79%,233.37亿
2022,335.364,47.1679,7.11,40.1153,8.36,-87.58%,3852.51万,-97.56%,4.85,279.77亿,29.86亿,2.46%,231.40亿
2021,534.884,47.1679,11.34,7.943,67.34,20.57%,15.76亿,11.54%,4.94,336.92亿,34.81亿,23.75%,235.92亿
2020,568.265,36.3341,15.64,10.1748,55.85,170.37%,14.13亿,68.72%,3.97,274.51亿,28.95亿,25.99%,147.03亿
2019,510.131,36.3341,14.04,24.6917,20.66,71.94%,8.38亿,116.72%,3.68,318.10亿,22.05亿,41.03%,136.20亿
2018,,,,,12.01,7.83%,3.86亿,6.44%,3.53,178.60亿,16.10亿,32.63%,115.38亿
2017,,,,,11.14,14.20%,3.63亿,9.09%,3.41,53.13亿,13.75亿,33.03%,111.49亿
2016,,,,,9.76,-50.60%,3.33亿,-68.08%,3.45,65.87亿,17.05亿,34.70%,112.74亿
2015,,,,,19.75,63.12%,10.43亿,119.44%,3.53,83.82亿,20.81亿,52.84%,115.26亿
2014,,,,,12.11,58.28%,4.75亿,117.73%,3.03,43.63亿,16.12亿,39.35%,62.35亿
2013,,,,,7.65,68.02%,2.18亿,129.36%,False,42.56亿,14.28亿,28.94%,58.24亿
2012,,,,,4.55,-17.97%,9513.85万,-31.85%,False,32.28亿,13.93亿,18.61%,38.17亿
2011,,,,,5.55,-50.24%,1.40亿,-71.31%,False,50.53亿,13.28亿,25.15%,36.19亿
2010,,,,,11.15,50.29%,4.87亿,54.07%,False,59.90亿,13.68亿,43.62%,36.51亿
