报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,118.088,4.7693,24.76,7.4176,3.98,108.42%,2.04亿,151.19%,8.61,184.46亿,20.78亿,51.32%,41.53亿
2025,125.618,4.6405,27.07,10.2378,12.27,23.20%,5.47亿,42.95%,7.76,156.45亿,18.75亿,44.79%,36.90亿
2024,62.705,4.4503,14.09,6.2957,9.96,95.45%,3.83亿,56.93%,6.25,94.05亿,15.53亿,21.20%,29.32亿
2023,63.417,4.4503,14.25,6.8485,9.26,-54.34%,2.44亿,-16.96%,5.73,76.65亿,13.51亿,26.32%,26.98亿
2022,55.896,4.4503,12.56,2.7549,20.29,-4.67%,2.94亿,-41.74%,5.41,93.31亿,12.39亿,14.49%,25.57亿
2021,101.244,4.4503,22.75,4.7577,21.28,58.56%,5.04亿,102.51%,5.07,104.95亿,11.55亿,23.67%,24.04亿
2020,97.366,4.45,21.88,7.2553,13.42,41.08%,2.49亿,105.98%,4.21,62.97亿,8.76亿,18.54%,19.82亿
2019,147.962,4.45,33.25,15.5586,9.51,101.93%,1.21亿,5.30%,3.84,34.90亿,7.57亿,12.70%,17.08亿
2018,,,,,4.71,-8.19%,1.15亿,-27.79%,3.43,24.26亿,6.61亿,24.36%,13.71亿
2017,,,,,5.13,10.52%,1.59亿,-25.22%,3.25,31.87亿,6.19亿,30.96%,13.00亿
2016,,,,,4.64,-19.87%,2.12亿,-17.70%,2.86,36.26亿,4.92亿,45.76%,11.42亿
2015,,,,,5.79,86.07%,2.58亿,155.87%,3.10,57.89亿,3.23亿,44.55%,9.30亿
2014,,,,,3.11,25.25%,1.01亿,36.42%,2.24,23.22亿,1.17亿,32.40%,6.72亿
2013,,,,,2.49,-1.48%,7395.41万,-9.67%,2.04,16.27亿,7393.96万,29.74%,6.11亿
2012,,,,,2.52,False,8186.80万,False,1.79,12.14亿,1478.31万,32.44%,5.37亿
