报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,55.261,1.728,31.98,61.4066,0.22498,-52.88%,-83.86万,-190.89%,16.01,9.79亿,2.38亿,-4.06%,27.65亿
2025,46.31,1.728,26.8,27.2412,1.7,-20.70%,-8556.59万,61.16%,16.01,13.86亿,2.39亿,-50.64%,27.66亿
2024,29.22,1.728,16.91,13.6542,2.14,-43.61%,-2.20亿,-2899.63%,16.51,14.50亿,3.24亿,-103.47%,28.53亿
2023,28.966,1.28,22.63,7.6427,3.79,-25.33%,786.85万,-62.19%,24.07,16.64亿,5.52亿,1.15%,30.82亿
2022,26.214,1.28,20.48,5.1602,5.08,-46.81%,2080.79万,-93.16%,24.16,16.05亿,5.64亿,3.94%,30.96亿
2021,29.216,0.8,36.52,3.0593,9.55,3.22%,3.04亿,4.01%,39.75,23.52亿,6.55亿,31.76%,31.83亿
2020,,,,,9.26,8.34%,2.92亿,10.24%,11.81,3.73亿,4.50亿,31.68%,7.12亿
2019,,,,,8.54,17.10%,2.65亿,106.70%,7.94,2.82亿,2.18亿,31.14%,4.78亿
2018,,,,,7.3,49.98%,1.28亿,210.84%,4.32,1.68亿,2463.01万,17.64%,2.60亿
2017,,,,,4.86,50.52%,4126.45万,-47.23%,6.93,948.07万,3460.24万,8.54%,1.74亿
2016,,,,,3.23,192.12%,7819.97万,294.20%,5.18,2306.75万,7201.24万,16.16%,1.45亿
2015,,,,,1.33,1.32%,1983.77万,31.51%,2.59,1087.26万,761.50万,14.97%,5703.82万
2014,,,,,1.31,False,1508.43万,False,10.89,65.45万,2517.96万,11.53%,3265.68万
