报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益
2026-03-31,19.924,0.6471,30.79,4.4473,1.12,-3.69%,4201.13万,17.92%,10.12,6.13亿,3.70亿,37.41%,6.55亿
2025,21.251,0.6471,32.84,5.7591,3.69,-6.61%,1.01亿,-3.70%,9.87,5.81亿,3.54亿,27.47%,6.39亿
2024,,,,,3.96,7.39%,1.05亿,30.02%,7.18,3.14亿,2.59亿,26.64%,3.64亿
2023,,,,,3.68,21.41%,8105.85万,25.95%,5.09,1.50亿,1.54亿,22.00%,2.58亿
2022,,,,,3.03,11.58%,6435.81万,37.60%,3.93,1.37亿,1.10亿,21.21%,1.96亿
2021,,,,,2.72,9.00%,4677.26万,9.72%,3.08,1.31亿,7656.44万,17.20%,1.54亿
2020,,,,,2.49,4.42%,4262.97万,29.11%,2.28,7758.18万,7411.42万,17.09%,1.14亿
2019,,,,,2.39,35.08%,3301.69万,73.61%,7.38,8388.24万,5974.75万,13.82%,8923.20万
2018,,,,,1.77,21.85%,1901.77万,-7.38%,5.88,5680.98万,3582.85万,10.75%,5876.06万
2017,,,,,1.45,27.91%,2053.21万,53.46%,3.99,2329.26万,1871.25万,14.14%,3985.18万
2016,,,,,1.13,8.19%,1337.97万,0.59%,2.62,2906.47万,723.36万,11.79%,2623.34万
2015,,,,,1.05,26.54%,1330.11万,80.02%,1.80,1042.97万,140.44万,12.68%,1798.62万
2014,,,,,0.828927,False,738.88万,False,6.06,3779.71万,4460.33万,8.91%,6060.33万
