报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,39.643,4.725,8.39,2.27,-5.79%,911.25万,-83.09%,1.38,17.4639,419.5,6.0797,PS；PE,1.15亿,-5.64亿,3.44%,6.27亿,0.22000000000000003,40%: 最新年度营业收入下滑；最新年度净利润同比下降,上海锦和投资集团有限公司
2026-03-31,39.643,4.725,8.39,2.27,-5.79%,911.25万,-83.09%,1.38,4.366,419.5,6.0797,PS；PE,1.15亿,-5.64亿,3.44%,6.27亿,0.22000000000000003,,上海锦和投资集团有限公司
2025,30.051,4.725,6.36,9.47,-6.09%,-1.19亿,-905.66%,1.58,3.1733,,4.0253,PS；PE,2.18亿,-4.69亿,-18.31%,7.24亿,0.33000000000000007,,上海锦和投资集团有限公司
2024,32.13,4.725,6.8,10.08,-2.33%,1475.32万,-85.07%,2.16,3.1875,226.6667,3.1481,PS；PE,3.35亿,-1.79亿,-0.36%,10.53亿,0.22000000000000003,,上海锦和投资集团有限公司
2023,23.53,4.725,4.98,10.32,17.04%,9883.55万,1.85%,2.37,2.28,23.7143,2.1013,PS；PE,2.92亿,-7533.10万,8.06%,11.93亿,0.22000000000000003,,上海锦和投资集团有限公司
2022,21.404,4.725,4.53,8.82,-2.97%,9703.74万,-21.78%,2.38,2.4268,21.5714,1.9034,PS；PE,3.73亿,-5753.11万,9.32%,12.30亿,0.22000000000000003,,上海锦和投资集团有限公司
2021,23.105,4.725,4.89,9.09,22.93%,1.24亿,-20.54%,2.39,2.5418,18.8077,2.046,PS；PE,3.17亿,-3621.36万,13.07%,12.51亿,0.22000000000000003,,上海锦和投资集团有限公司
2020,30.76,4.725,6.51,7.39,-10.06%,1.56亿,-12.78%,3.27,4.1624,18.6,1.9908,PS；PE,6.29亿,3.70亿,21.14%,15.46亿,0.38,,上海锦和投资集团有限公司
2019,,,,8.22,2.75%,1.79亿,1.17%,2.33,,,,PS；PE,1.83亿,4.12亿,21.83%,8.83亿,,,上海锦和投资集团有限公司
2018,,,,8.0,24.16%,1.77亿,49.71%,1.86,,,,PS；PE,2.03亿,2.50亿,22.15%,7.03亿,,,上海锦和投资集团有限公司
2017,,,,6.44,21.46%,1.18亿,17.89%,2.77,,,,PS；PE,8666.51万,2.32亿,18.38%,5.82亿,,,上海锦和投资集团有限公司
2016,,,,5.3,12.55%,1.00亿,5.10%,2.21,,,,PS；PE,6900.69万,1.26亿,18.89%,4.63亿,,,上海锦和投资集团有限公司
2015,,,,4.71,19.68%,9539.14万,25.89%,2.13,,,,PS；PE,2782.38万,1.22亿,20.22%,4.47亿,,,上海锦和投资集团有限公司
2014,,,,3.94,16.86%,7577.36万,-15.23%,2.07,,,,PS；PE,2355.42万,1.19亿,19.07%,4.34亿,,,上海锦和投资集团有限公司
2013,,,,3.37,29.54%,8938.71万,15.72%,2.05,,,,PS；PE,1611.75万,1.24亿,26.64%,4.31亿,,,上海锦和投资集团有限公司
2012,,,,2.6,42.45%,7724.36万,31.44%,1.82,,,,PS；PE,7565.88万,8128.95万,30.02%,3.88亿,,,上海锦和投资集团有限公司
2011,,,,1.83,False,5876.93万,False,1.85,,,,PS；PE,3118.47万,5906.90万,32.29%,1.53亿,,,上海锦和投资集团有限公司
